time,cadence,heartrate,distance,altitude,velocity_smooth,grade_smooth,temp
0,56,76,0.79,497.0,1.409,-0.08512395,29
1,56,76,2.2,497.0,1.409,-0.08512395,29
2,111,76,2.52,497.0,1.409,-0.087638654,29
5,56,77,4.64,497.2,1.941,0.10236244,29
11,56,78,13.17,497.8,1.194,0.10713306,29
13,56,75,16.37,497.8,1.194,0.37566754,29
15,56,74,19.58,498.0,1.204,0.39526862,29
19,56,75,23.71,498.2,1.222,0.68441916,29
23,56,76,28.81,498.4,1.194,1.1926721,29
26,56,76,32.38,498.6,1.166,1.4449937,29
31,56,80,42.1,498.8,1.129,1.52979,29
32,56,80,43.36,498.8,1.129,2.448479,29
35,56,83,47.0,499.0,1.12,2.6251059,29
38,57,86,50.58,499.2,1.12,2.5060997,29
42,55,89,57.29,499.4,1.138,2.5834377,29
50,56,88,66.42,500.0,1.064,3.1538908,29
55,54,87,70.15,500.0,0.989,3.43609,29
57,54,87,73.85,499.8,1.026,3.3990657,29
61,58,86,79.57,499.4,1.157,3.5302105,29
65,59,83,86.53,499.2,1.334,3.8539546,29
66,59,83,87.81,499.2,1.353,4.1994576,29
67,59,83,88.07,499.2,1.353,4.0534396,29
68,59,84,88.94,499.4,1.362,3.8765798,29
71,55,84,93.42,500.0,1.372,3.769937,29
72,55,84,94.77,500.2,1.372,3.9998343,29
77,53,85,101.58,501.2,1.288,4.129891,29
80,51,88,105.38,502.0,1.26,4.51494,29
81,52,90,106.67,502.2,1.26,4.558125,29
82,53,92,108.17,502.4,1.278,4.4150443,29
84,54,95,111.73,502.8,1.316,4.8048368,29
87,53,96,115.75,503.6,1.362,4.8979936,29
91,53,99,120.05,504.4,1.334,5.0266,29
92,53,100,121.26,504.6,1.334,5.7564588,29
96,53,101,126.62,505.6,1.325,5.5117545,29
97,53,101,128.06,505.6,1.325,5.8213897,29
100,53,102,132.77,506.4,1.334,5.6856027,29
102,53,104,136.47,506.8,1.334,5.8629713,28
105,55,107,140.75,507.4,1.362,5.949584,28
107,55,109,143.29,508.0,1.372,5.8227606,28
108,53,110,145.26,508.2,1.372,5.8184924,28
112,53,111,150.81,509.0,1.39,5.6880703,28
116,53,113,156.52,510.0,1.39,5.855313,28
117,53,113,157.38,510.4,1.39,6.047281,28
121,53,114,163.26,511.2,1.39,5.6296825,28
126,53,115,169.75,512.2,1.39,5.891407,28
127,53,115,170.94,512.4,1.39,7.238547,28
131,53,117,176.93,513.4,1.409,6.8120413,28
136,53,120,182.8,514.4,1.418,6.9752865,28
141,53,120,190.17,515.8,1.418,7.370598,28
148,53,122,200.38,517.0,1.418,7.642948,28
154,53,122,207.63,518.0,1.409,9.1320505,28
158,53,119,213.27,519.0,1.418,8.487183,28
160,53,117,215.92,519.2,1.418,8.605159,28
161,53,116,217.25,519.4,1.418,8.403823,28
166,53,116,224.26,520.2,1.418,7.8032346,28
171,53,116,230.89,521.2,1.418,8.633044,28
174,53,116,235.24,521.8,1.418,8.026421,28
177,53,116,238.79,522.2,1.418,7.8778124,28
183,53,114,247.46,523.4,1.418,7.0564027,28
184,53,114,248.57,523.8,1.418,7.6072936,28
188,53,114,253.49,524.6,1.4,5.282706,28
196,55,115,264.77,525.0,1.409,4.980797,28
200,0,111,268.57,524.8,1.409,5.218327,28
202,56,110,271.13,524.6,1.39,4.7669663,28
204,56,108,275.51,524.2,1.39,4.492932,28
208,80,106,286.06,523.4,2.174,3.2415714,28
211,81,107,294.95,522.4,2.174,3.0543094,28
212,81,107,298.08,522.2,2.193,2.7695267,28
219,81,108,319.76,522.0,2.687,2.2542648,28
220,81,109,322.67,522.0,2.687,1.8394364,28
227,80,111,343.69,521.4,2.715,1.4044844,28
229,81,113,349.36,521.4,2.734,1.4076095,28
236,80,115,368.72,521.6,2.855,1.1143396,28
242,82,116,383.56,522.0,2.809,1.1733332,28
248,82,118,395.95,522.2,2.622,1.6322578,28
257,83,119,417.03,523.2,2.417,1.5180118,28
258,83,120,419.39,523.4,2.361,2.379552,28
262,85,118,428.98,523.8,2.389,1.8139919,28
267,83,116,443.63,523.8,2.454,1.7994998,28
274,82,119,462.07,524.4,2.706,2.305654,28
275,82,116,464.66,524.6,2.706,2.3249657,28
276,82,119,467.29,524.6,2.715,2.1111495,28
282,81,123,484.73,524.6,2.687,1.9035565,28
283,81,124,487.55,524.6,2.687,2.2121446,28
285,81,127,494.37,524.4,2.697,2.0010285,28
289,79,130,504.89,524.4,2.715,1.8184973,28
291,79,130,510.41,524.4,2.715,1.366354,27
298,79,128,532.96,523.6,2.743,1.076381,27
301,79,129,540.62,523.6,2.753,0.8852182,27
303,79,129,546.68,523.6,2.753,0.5435241,27
310,80,129,567.35,523.4,2.743,0.41794524,27
311,80,129,570.25,523.4,2.743,0.43337545,27
316,80,129,586.86,523.2,2.781,0.37300977,27
321,81,128,607.13,522.6,2.93,0.43793747,27
322,81,128,610.93,522.6,2.958,0.69036883,27
329,80,130,632.16,522.0,2.995,0.6460409,27
334,79,130,648.41,521.6,3.06,0.8274427,27
337,80,131,658.18,521.4,3.088,0.72573435,27
344,80,132,678.21,521.0,3.116,0.27417412,27
345,80,132,681.81,521.0,3.098,-0.034670524,27
351,81,133,702.62,521.4,3.07,-0.15888129,27
353,82,133,706.39,521.6,3.07,-0.4672063,27
361,83,134,726.22,522.8,2.986,-0.855106,27
367,82,135,738.39,523.8,2.725,-1.0949831,27
372,82,138,752.39,524.6,2.65,-0.8700323,27
373,82,138,754.4,524.8,2.641,-0.7227477,27
374,82,139,755.47,525.0,2.631,-0.60521954,27
378,82,140,765.23,525.6,2.538,-0.13920675,27
380,82,140,771.16,526.0,2.529,0.037156347,27
383,82,141,779.44,526.2,2.557,0.25467405,27
389,82,142,796.56,527.0,2.566,0.4481728,27
391,81,142,804.93,527.0,2.603,0.6030471,27
397,81,145,822.89,527.2,2.631,0.6182877,27
399,81,146,828.48,527.4,2.622,0.4465084,27
406,82,143,847.88,527.6,2.659,0.3376628,27
407,81,142,850.7,527.8,2.659,0.35348293,27
410,81,142,857.33,528.0,2.65,0.3118314,27
414,80,142,867.28,528.2,2.594,0.5848278,27
421,40,143,886.88,528.6,2.566,0.8273365,27
426,40,144,901.37,529.0,2.454,1.0895413,27
431,81,144,917.13,529.2,2.529,1.3840137,27
438,81,144,937.33,529.6,2.613,2.0744033,27
445,81,141,957.06,530.0,2.529,2.4644508,27
449,80,141,967.02,530.2,2.258,2.1477122,27
451,80,141,970.44,530.2,2.23,1.8501637,27
452,80,141,972.84,530.4,2.211,1.4079896,27
458,81,142,989.64,530.6,2.249,0.99591213,27
464,81,142,1009.07,531.0,2.454,0.7129588,26
468,81,143,1018.77,531.2,2.398,0.8355259,26
470,81,144,1024.45,531.2,2.473,0.72752154,26
476,80,146,1044.48,531.6,2.482,0.6335609,26
477,80,146,1048.1,531.6,2.454,0.6209141,26
480,80,147,1054.83,531.8,2.37,0.5504139,26
483,81,147,1061.78,531.8,2.295,0.5076279,26
486,81,144,1068.74,532.0,2.379,0.5388,26
487,81,144,1070.92,532.2,2.407,0.51616514,26
492,81,143,1086.69,532.6,2.417,0.44308963,26
498,81,146,1104.48,532.8,2.426,0.8768585,26
499,81,146,1107.53,532.8,2.426,1.3350598,26
505,81,146,1122.72,533.0,2.342,1.3283536,26
507,81,146,1128.0,533.2,2.295,1.7067213,26
510,81,145,1137.45,533.2,2.295,1.5300478,26
512,81,145,1143.37,533.2,2.277,1.563145,26
518,81,146,1162.85,533.0,2.342,1.2309723,26
521,81,146,1172.1,532.8,2.361,1.3350122,26
525,80,146,1186.53,533.0,2.389,1.2060839,26
531,79,146,1206.65,533.4,2.687,1.3505428,26
532,79,146,1209.52,533.4,2.743,1.5872344,26
539,81,146,1231.38,533.4,2.613,1.356166,26
540,81,145,1233.14,533.4,2.659,2.6760929,26
547,81,145,1251.71,533.6,2.687,2.513556,26
553,81,148,1265.74,533.8,2.65,2.785137,26
555,81,147,1271.09,534.2,2.631,2.7155695,26
556,81,147,1273.33,534.2,2.613,2.5769708,26
560,81,148,1288.57,534.2,2.575,2.113824,26
566,81,148,1307.77,534.6,3.004,1.8571714,26
574,80,148,1329.69,534.6,2.976,2.8457906,26
580,82,147,1352.37,535.0,2.734,2.407055,26
581,82,147,1355.33,535.2,2.734,2.2360337,26
582,82,146,1357.86,535.2,2.725,1.6702065,26
590,81,147,1381.87,535.8,2.781,1.252777,26
591,81,147,1385.73,535.8,2.799,1.4181905,26
598,81,149,1408.27,536.2,2.818,1.1254485,26
599,81,149,1411.01,536.2,2.818,1.4367584,26
601,81,150,1416.99,536.4,2.818,1.3036368,26
605,80,150,1426.05,536.8,2.809,1.36676,26
606,80,150,1427.87,536.8,2.809,1.6611515,26
612,82,149,1441.6,537.2,2.734,1.7576145,26
613,82,149,1443.61,537.4,2.734,2.0903337,26
615,82,149,1447.12,537.6,2.678,2.0275288,26
620,82,149,1459.88,538.0,2.678,2.02324,26
624,81,149,1468.16,538.4,2.613,2.4667773,26
627,81,148,1473.01,539.0,2.519,2.375279,26
629,81,149,1477.64,539.0,2.482,2.2088885,26
630,81,148,1480.12,539.2,2.482,1.6865224,26
632,81,148,1484.38,539.4,2.445,1.4600432,26
639,81,148,1506.04,540.2,2.37,1.2785977,26
640,81,148,1509.32,540.2,2.37,1.7480409,26
644,81,149,1519.1,540.6,2.323,1.5518543,26
647,82,150,1525.91,541.0,2.295,1.6869754,26
653,81,151,1543.84,541.4,2.267,1.7336881,26
654,82,151,1546.47,541.6,2.333,2.0312014,26
660,81,150,1562.44,542.4,2.398,1.5997376,26
662,82,150,1568.21,542.6,2.435,0.9979697,26
666,81,153,1577.7,542.8,2.454,0.81048405,26
668,81,151,1583.03,543.0,2.389,0.19339675,26
672,81,149,1594.08,543.6,2.351,-0.037254807,26
675,82,151,1600.23,543.8,2.314,-0.6818449,26
682,81,152,1621.26,544.4,2.239,-0.8085372,26
688,81,152,1639.26,544.6,2.538,-1.0918576,26
689,80,152,1641.75,544.6,2.557,-1.8941573,26
696,81,151,1662.31,544.6,2.585,-1.677084,25
701,79,150,1678.14,544.6,2.753,-1.6770079,25
703,80,147,1682.76,544.6,2.678,-0.53916395,25
704,80,150,1686.58,544.6,2.678,-0.27429587,25
706,80,150,1693.16,544.4,2.678,0.017804494,25
