time,cadence,heartrate,distance,altitude,velocity_smooth,grade_smooth,temp
0,80,86,3.36,226.6,2.762,0.63130987,27
1,80,86,6.57,226.6,2.837,0.7209072,27
4,81,90,17.13,226.4,3.023,0.8568087,27
7,81,92,27.78,226.6,2.818,2.514123,27
13,84,94,47.43,227.8,3.06,3.5297585,27
15,83,96,53.08,228.0,3.06,5.4945803,27
18,83,94,59.42,228.8,2.995,6.17478,27
19,83,98,61.25,229.0,2.818,6.6401505,27
20,83,99,63.08,229.0,2.659,6.5278935,27
22,83,101,66.75,229.6,1.885,6.104832,26
24,58,104,69.58,230.0,1.885,6.1268783,26
28,57,105,76.69,230.8,1.577,5.9691358,26
30,56,105,79.52,231.0,1.549,6.727891,26
35,56,108,88.55,232.2,1.54,6.4786124,26
40,56,108,97.35,233.2,1.549,6.887558,26
42,56,111,101.03,233.6,1.568,7.4963613,26
44,56,110,104.81,233.8,1.652,6.5854177,26
48,58,111,111.97,234.2,1.829,6.3040853,26
53,60,114,121.12,234.8,1.941,6.2760496,26
54,60,114,122.89,235.0,1.941,6.079417,26
56,59,113,126.37,235.4,1.959,5.550042,26
62,59,115,134.73,236.4,1.941,5.653914,26
65,59,117,138.76,236.6,1.903,5.8192625,26
69,59,120,144.47,237.2,1.726,5.628207,26
72,59,121,148.32,237.4,1.614,6.413526,26
79,59,118,158.26,238.2,1.484,6.5419044,26
84,60,121,165.51,238.6,1.437,7.1256166,26
91,59,122,175.86,239.2,1.353,7.32412,26
93,59,120,178.75,239.4,1.353,7.2304053,26
96,59,117,183.34,239.8,1.344,6.9206247,26
102,61,114,192.9,240.4,1.353,6.781879,26
103,61,114,194.43,240.6,1.353,9.004855,26
105,61,115,198.1,240.8,1.353,8.515064,26
133,0,96,198.1,240.0,0.0,8.4621725,26
135,0,95,198.74,240.0,0.0,8.584225,26
139,57,92,209.65,240.6,0.0,8.178244,26
141,57,92,215.4,240.8,0.616,8.839468,26
142,57,91,218.13,241.0,1.484,9.623988,26
150,59,88,234.73,242.0,1.866,8.809523,26
151,59,91,235.93,242.2,1.875,11.032994,26
152,58,91,237.09,242.4,1.875,9.666748,26
154,57,93,239.84,243.0,1.81,9.138327,26
158,56,93,245.65,244.2,1.698,8.822617,26
160,55,95,248.31,244.8,1.642,9.685874,26
162,55,96,251.31,245.4,1.605,9.695127,26
166,56,98,257.13,246.4,1.484,9.525016,26
169,58,101,261.97,247.0,1.428,9.877531,26
171,57,99,265.19,247.4,1.437,9.40189,26
172,57,100,266.59,247.6,1.456,9.315933,26
176,58,100,272.34,248.4,1.465,8.860028,26
178,58,101,275.13,248.8,1.446,10.178146,26
179,57,101,276.6,249.0,1.446,10.096793,26
184,59,102,285.37,249.8,1.428,9.65171,26
189,59,103,293.99,250.6,1.437,10.673359,26
190,58,103,295.77,250.8,1.437,10.748553,26
191,58,103,297.56,251.0,1.456,10.181979,25
197,58,105,308.62,251.8,1.521,9.346555,25
204,59,106,321.09,253.0,1.577,8.759902,25
206,59,108,324.51,253.2,1.596,9.8633795,25
211,59,110,332.31,254.0,1.624,8.359078,25
215,59,111,338.51,254.6,1.633,7.893314,25
220,59,112,349.79,255.0,1.642,6.084787,25
222,82,112,355.85,255.2,1.838,5.866781,25
227,83,113,369.81,256.0,2.491,4.873862,25
228,83,114,372.59,256.2,2.538,5.8805766,25
231,83,117,380.77,256.2,2.585,5.2231293,25
233,83,118,386.05,256.2,2.613,5.6869755,25
239,83,122,399.82,257.4,2.697,5.5115924,25
244,58,122,409.2,258.4,2.015,6.1828513,25
245,58,123,410.88,258.6,1.941,7.048374,25
247,58,126,414.3,258.8,1.652,6.7276607,25
249,57,123,417.56,259.4,1.474,5.1200643,25
250,57,122,419.34,259.6,1.446,4.924484,25
255,58,121,428.2,260.6,1.409,4.587476,25
256,58,121,429.81,260.8,1.409,4.861878,25
258,57,124,432.94,261.0,1.418,4.5077257,25
261,57,128,438.24,261.6,1.428,4.973575,25
263,57,129,441.64,261.8,1.456,4.316042,25
265,58,130,445.49,262.2,1.474,4.115474,25
271,59,131,457.62,263.0,1.633,3.7512662,25
273,59,131,461.65,263.2,1.689,4.22487,25
284,60,131,482.25,264.0,1.903,3.7592847,25
285,60,131,484.05,264.2,1.913,5.4470253,25
294,60,129,500.02,265.0,1.959,4.8077464,25
297,60,126,505.06,265.2,1.978,4.718876,25
304,60,123,516.91,265.8,1.987,4.531352,25
306,60,123,520.42,266.0,1.987,4.672773,25
309,60,122,525.49,266.2,1.997,4.3519235,25
316,59,124,536.49,266.8,1.997,4.117551,25
318,59,123,539.25,267.2,1.987,4.1893053,25
322,57,126,544.5,268.2,1.922,3.7453501,25
323,57,127,545.56,268.2,1.866,3.421406,25
324,57,127,546.87,268.6,1.819,2.870606,25
325,57,126,548.33,268.8,1.764,2.3370984,25
368,55,126,548.33,276.6,1.428,1.1654565,25
371,55,127,552.38,276.8,1.437,9.249195,25
372,54,127,553.89,276.8,1.446,7.646024,25
378,84,127,567.17,277.6,1.54,6.7341194,25
381,86,127,575.1,278.0,1.913,7.109656,25
386,84,128,586.63,278.6,2.155,7.3640556,25
389,83,131,593.83,279.0,2.23,7.6679473,25
392,84,134,601.99,279.2,2.286,7.8908067,25
398,84,135,617.34,279.6,2.361,6.762883,24
399,84,136,619.75,279.6,2.361,7.76107,24
403,84,137,631.33,280.0,2.445,6.9302025,24
406,84,138,639.29,280.4,2.445,7.0330377,24
408,84,138,644.42,280.8,2.463,7.11198,24
414,85,139,659.56,281.8,2.529,6.451853,24
415,85,140,661.99,282.0,2.538,6.610529,24
420,85,141,674.7,283.0,2.557,5.740888,24
424,85,142,684.99,283.6,2.547,6.810795,24
427,85,144,692.46,284.0,2.557,7.261792,24
432,85,148,703.27,285.2,2.557,7.3776426,24
438,85,147,717.14,286.4,2.51,7.897023,24
439,85,148,719.75,286.6,2.501,8.352163,24
444,85,149,732.4,287.4,2.473,7.511579,24
447,85,151,739.85,287.8,2.482,8.376491,24
450,85,151,747.27,288.4,2.482,8.26926,24
453,85,152,755.04,289.0,2.491,8.7876625,24
456,85,153,762.42,289.4,2.491,8.876144,24
462,85,154,777.27,290.4,2.501,7.9415884,24
463,85,154,779.65,290.6,2.501,9.710917,24
470,86,155,795.91,291.4,2.491,8.491574,24
472,85,157,800.79,291.6,2.482,8.71984,24
475,85,154,808.19,292.0,2.473,8.861006,24
480,85,156,820.7,292.4,2.463,9.6459255,24
482,85,157,825.56,292.8,2.463,10.660623,24
484,84,157,830.52,293.0,2.473,10.484441,24
487,84,157,837.96,293.4,2.473,8.598439,24
492,84,158,850.44,293.8,2.463,8.602132,24
493,83,158,852.83,294.0,2.463,7.366594,24
495,83,161,857.92,294.2,2.463,6.6427565,24
496,83,164,860.46,294.2,2.463,6.204092,24
499,84,167,867.42,294.6,2.463,5.4467936,24
501,84,168,871.84,294.6,2.463,5.8626366,24
503,83,168,876.86,295.0,2.454,5.3256626,24
509,42,167,892.97,295.6,2.445,4.7327456,24
