time,heartrate,distance,altitude,velocity_smooth,grade_smooth,temp
0,72,8.11,507.2,2.258,8.829864,27
1,72,9.58,508.0,2.351,7.2942505,27
2,71,10.59,508.8,2.351,5.9849753,27
8,72,35.3,509.8,3.807,4.4598284,26
13,74,56.09,511.0,4.106,5.855305,26
15,75,64.49,511.8,4.124,2.2214396,26
16,75,68.59,512.2,4.106,1.8893303,26
21,76,89.96,513.2,4.18,0.3366327,26
24,76,103.49,514.2,4.311,-2.329982,26
29,76,128.15,513.8,4.749,-3.0683763,26
31,79,138.89,513.4,4.889,-3.1439927,26
33,82,150.01,513.2,5.188,-2.5589745,26
34,82,155.6,512.8,5.309,-2.3878808,26
38,81,179.12,512.2,5.533,-1.6281823,25
39,81,185.54,511.8,5.561,-0.95495516,25
44,82,217.17,511.4,6.074,-0.35365477,25
48,83,242.12,511.2,6.074,-1.4257544,25
49,84,248.41,511.2,6.074,-2.289887,25
51,84,262.19,510.8,6.177,-2.6243455,25
55,86,287.5,510.4,6.177,-3.03517,25
56,86,294.6,510.2,6.177,-3.955185,25
57,87,301.58,510.0,6.177,-0.38474467,25
60,90,321.32,509.4,6.326,3.0672884,25
62,88,333.0,508.6,6.326,8.348731,25
63,86,337.93,508.2,5.514,12.3702,25
65,86,346.46,508.2,4.871,12.891315,25
69,87,366.83,509.8,5.076,10.519933,25
71,87,376.52,511.4,4.917,10.531334,25
73,88,384.95,513.2,4.637,10.008663,25
75,88,395.27,514.6,4.591,8.949288,25
78,89,411.17,515.6,4.591,5.3940563,25
80,89,420.13,516.6,4.591,5.1177735,25
81,92,425.33,517.0,4.423,4.7781014,25
84,95,438.59,518.6,4.423,3.7032053,24
90,98,466.04,519.4,4.32,2.7772365,24
91,101,470.58,519.4,4.311,3.5234463,24
92,102,475.23,519.4,4.311,2.8761122,24
93,100,479.63,519.8,4.311,2.415685,24
97,98,496.44,520.6,4.255,1.1194148,24
99,97,504.88,521.0,4.245,0.297136,24
102,95,517.28,521.0,4.255,0.33968472,24
106,98,533.36,521.2,4.245,-0.77899057,24
113,97,563.9,521.2,4.357,-2.2117476,24
114,99,568.7,521.2,4.488,-2.2008362,24
116,100,577.68,520.8,4.488,-1.767757,24
117,101,582.57,520.6,4.591,-1.6964369,24
118,102,587.67,520.6,4.637,-1.8545358,24
120,103,596.67,520.0,4.637,-1.9108964,24
123,103,612.59,520.0,4.731,-2.229509,24
128,105,636.9,520.0,4.6,-3.7458174,24
131,106,650.47,519.6,4.591,-8.009175,24
136,108,666.11,518.8,1.521,-5.063151,24
142,106,668.46,518.0,0.0,-1.9307836,24
143,106,668.46,517.8,0.0,-1.6739271,24
149,106,668.46,516.8,0.0,0.0,24
153,109,668.46,516.0,0.0,1.3391212,24
154,112,668.46,515.8,0.0,1.6739271,24
155,114,668.46,515.6,0.0,2.0087328,24
161,114,668.46,514.6,0.0,3.6826599,24
164,111,669.01,514.0,0.0,4.6869755,24
168,108,680.86,513.8,4.236,5.065209,24
170,107,691.68,514.2,6.448,3.7416048,24
172,107,705.71,515.2,6.942,2.809066,24
175,107,728.26,516.0,6.858,3.8619204,24
179,108,755.67,516.8,6.979,3.234916,24
180,108,762.74,517.0,6.989,5.00131,24
186,110,802.48,518.2,6.979,3.6153538,24
189,112,823.83,519.2,6.951,3.001797,24
195,114,862.55,520.4,6.867,1.9029232,24
197,114,876.38,521.0,6.718,5.1374545,24
199,115,889.02,521.4,6.522,6.031293,24
202,117,907.08,522.4,6.214,5.0782256,24
203,118,912.95,522.8,6.205,5.6371274,24
205,119,923.44,523.6,5.925,4.7197237,24
206,119,929.24,524.0,5.85,4.777858,24
208,119,940.28,524.6,5.626,4.2172184,24
209,119,945.85,525.0,5.589,4.63065,24
212,121,963.86,526.0,5.589,3.4270432,23
213,121,969.71,526.0,5.589,2.8043644,23
216,124,986.19,526.8,5.71,1.9259696,23
217,124,992.14,527.0,5.71,2.140367,23
219,125,1004.23,527.4,5.766,1.5975628,23
225,128,1042.23,528.0,5.99,1.1830896,23
226,128,1048.64,528.2,6.028,1.690442,23
227,129,1054.96,528.2,6.168,1.8923517,23
234,128,1101.57,528.6,6.364,0.7256004,23
239,127,1137.62,529.2,6.802,0.7093404,23
240,126,1143.41,529.2,6.83,0.7713052,23
242,126,1158.03,529.2,7.026,0.8339471,23
250,129,1215.58,529.6,7.091,0.3482129,23
252,130,1230.1,529.8,7.119,-1.3360255,23
258,127,1275.42,529.8,7.194,0.0,23
260,123,1289.47,529.0,6.671,0.6662092,23
264,118,1319.58,529.8,7.194,-0.97525746,23
266,118,1335.47,530.0,7.138,-1.9257327,23
271,120,1371.7,529.4,7.138,-1.1709899,23
273,123,1386.92,529.0,7.091,-1.4545839,23
274,123,1394.88,528.8,7.091,-1.4166123,23
276,128,1409.98,528.6,7.091,-1.0506648,23
277,131,1418.24,528.6,7.399,-1.9968811,23
278,131,1426.46,528.4,7.325,-0.23042446,23
279,137,1435.11,528.2,7.325,0.0,23
280,143,1443.1,528.2,7.381,0.0,23
281,145,1451.98,528.0,7.399,0.32333985,23
282,145,1460.06,528.0,7.623,0.37716547,23
288,147,1505.2,527.6,7.707,0.0,23
296,150,1564.67,528.2,7.539,-1.0122622,23
303,150,1617.54,527.6,7.539,1.5164572,23
309,152,1664.84,528.4,7.614,-1.3433038,23
316,150,1722.43,527.2,8.23,-0.34869587,23
317,150,1731.54,527.0,8.314,-5.192422,23
319,146,1750.01,525.8,9.256,-4.2761407,23
321,144,1769.5,524.8,9.769,-3.9346704,23
325,141,1811.15,523.4,10.572,-1.897259,23
328,139,1843.43,522.4,10.422,-3.5147636,23
329,137,1854.58,522.0,10.572,-6.852313,23
331,134,1879.73,521.2,11.458,-6.783644,23
332,134,1891.44,520.0,11.495,-7.6499653,23
334,132,1913.65,518.4,12.456,-5.025981,23
335,131,1926.53,517.2,12.466,-4.8663187,23
336,131,1939.98,516.2,13.147,-4.763057,23
338,131,1967.27,515.4,13.651,-5.039455,23
339,131,1981.31,514.6,13.884,-9.492345,23
340,130,1995.64,513.6,14.127,-10.053272,23
341,130,2010.15,512.6,14.285,-9.289171,23
343,129,2039.11,510.2,14.351,-7.4874797,23
345,128,2069.05,507.8,14.285,-6.8837833,23
346,125,2084.28,505.8,14.332,-9.476098,23
348,121,2114.78,504.6,14.742,-6.4429197,23
349,120,2130.37,502.6,14.892,-6.3852835,23
352,120,2177.66,500.0,15.274,-4.821596,23
353,120,2192.83,498.6,15.274,-10.871228,23
354,119,2207.37,497.0,14.565,-10.95636,23
355,119,2221.19,495.0,14.145,-7.8594346,23
357,119,2245.95,493.2,12.279,-6.4129286,23
359,118,2271.14,491.2,11.533,-4.467466,23
361,118,2286.7,490.0,8.407,-3.8105133,23
363,117,2299.74,489.0,5.636,-2.3108613,23
364,117,2303.66,488.8,4.488,-1.5814618,23
368,115,2314.34,488.2,3.294,-0.6742638,23
369,115,2318.68,488.0,4.563,-0.406055,23
371,114,2328.92,487.8,4.563,-0.21250336,23
372,114,2333.0,487.8,4.563,-0.23866451,23
373,114,2338.79,487.8,5.263,-0.25073832,23
376,114,2363.12,487.8,7.726,-0.27008516,23
382,115,2413.01,487.8,8.155,-1.0289279,23
383,115,2421.64,487.6,8.23,-1.5663149,23
384,118,2430.34,487.2,8.248,-0.63527566,23
385,118,2439.02,486.8,8.276,0.0,23
387,118,2456.88,486.8,8.603,0.0,23
388,123,2464.16,486.8,8.612,-0.30296138,23
390,127,2484.67,486.8,8.911,-0.34062797,23
391,130,2494.21,486.8,8.911,0.29698864,23
392,130,2503.67,486.8,9.041,0.3456694,23
394,133,2523.05,486.6,9.293,1.4648715,23
397,138,2552.19,486.6,9.461,-0.28914198,23
399,141,2572.06,487.0,9.527,-1.4625473,23
401,143,2592.39,487.6,9.685,-2.8923569,23
405,145,2634.58,486.4,10.161,-4.069067,23
407,145,2656.6,485.8,10.31,-4.5170107,23
411,147,2701.17,483.8,10.889,-2.2352757,23
412,147,2710.38,482.8,10.898,-6.428176,23
413,147,2721.88,482.6,10.992,-7.087752,23
415,148,2745.62,480.8,11.327,-6.356111,23
417,148,2769.68,479.8,11.477,-6.0388827,23
418,148,2781.8,478.4,11.533,-8.238744,23
420,148,2808.57,477.0,11.663,-6.017897,23
421,148,2820.87,476.0,11.831,-5.159724,23
