time,heartrate,distance,altitude,velocity_smooth,grade_smooth,temp
0,87,3.99,507.0,4.133,7.3173018,29
1,86,7.45,508.6,4.245,4.5297556,29
5,87,24.91,510.0,4.535,2.2221763,29
7,91,34.59,510.4,4.833,-0.26459536,29
8,95,39.67,511.0,4.833,-1.2148482,29
9,98,44.89,511.0,4.833,-1.3159529,29
10,105,50.21,511.0,5.048,-1.4385961,29
12,109,61.45,511.2,5.244,-1.9911711,29
13,109,66.46,511.2,5.244,-2.3481176,29
19,112,100.49,510.2,5.589,-0.3829593,29
21,113,112.72,510.2,5.822,0.5381792,29
22,114,118.98,510.0,5.953,0.96432656,29
23,115,125.12,510.0,5.981,1.0707107,29
27,118,149.37,509.8,6.074,0.5410299,29
31,121,175.01,510.8,6.224,-1.6178844,29
35,121,199.04,510.6,6.205,-1.6787163,29
37,124,211.29,510.2,6.028,0.27530244,29
41,123,234.75,509.8,5.925,0.9926519,29
43,125,247.13,509.6,5.916,2.905948,29
47,121,272.03,509.4,6.028,7.525008,28
50,118,289.8,510.4,5.328,11.775565,28
52,115,297.32,511.2,4.022,15.708432,28
53,115,303.04,511.8,4.022,16.776583,28
55,114,314.58,513.6,5.654,14.190142,28
57,115,326.45,515.4,5.654,10.764661,28
58,115,332.3,516.8,5.654,8.7945595,28
59,115,337.92,518.0,5.402,7.46037,28
61,117,348.43,519.8,5.402,3.965542,28
62,119,353.79,520.4,5.402,3.1852543,28
63,118,360.31,520.8,5.58,2.210934,28
65,120,371.99,521.2,5.402,3.076406,28
67,121,383.1,521.6,5.272,2.4837954,28
68,121,387.98,521.8,5.272,2.630954,28
70,121,398.58,521.8,5.076,4.945739,28
72,121,407.93,522.0,5.076,4.132537,28
73,121,412.38,522.0,4.245,3.2062776,28
79,118,436.42,522.8,4.022,1.9310015,28
80,118,440.66,523.2,3.994,-0.7404708,28
84,117,456.69,524.4,3.872,-4.408603,28
86,118,464.15,524.4,3.872,-6.2836447,28
89,118,473.72,523.8,3.107,-6.2031393,28
90,118,477.18,523.8,3.406,-5.845656,28
93,117,490.28,522.8,4.656,-4.3005233,28
94,116,495.11,522.8,4.908,-5.7637634,28
95,116,499.82,522.0,4.908,-3.0546129,28
96,116,504.35,521.6,4.553,-1.7966442,28
98,115,513.84,521.0,4.553,-0.7830936,28
99,115,518.94,520.8,4.628,-1.2975582,28
101,114,528.24,520.4,4.703,-0.7061178,28
102,114,532.81,520.6,4.815,-0.90766555,28
104,114,542.22,520.6,4.815,-0.95767635,27
105,114,547.08,519.8,4.815,0.0,27
107,114,555.74,520.4,4.815,-0.8682778,27
110,113,575.53,520.6,6.037,-1.3102298,27
116,113,616.63,520.0,6.317,-0.28691262,27
120,116,645.54,519.8,6.811,3.4638453,27
121,119,654.31,519.8,6.811,1.3996339,27
123,120,668.57,520.2,6.914,-0.24758606,27
125,118,682.36,521.6,6.914,-2.4083886,27
128,114,702.55,521.8,6.774,-3.4114559,27
133,115,735.08,520.6,6.531,-3.0883582,27
134,115,741.58,520.0,6.485,-2.387562,27
136,118,754.33,519.6,6.373,0.0,27
138,123,767.31,519.0,6.364,2.569669,27
140,126,780.18,518.6,6.345,4.8279114,27
141,131,785.31,518.6,6.345,9.808995,27
143,134,796.48,518.8,6.317,6.9570274,27
144,138,802.81,519.6,6.317,6.930734,27
145,138,808.97,520.0,6.224,6.985905,27
146,141,815.14,520.4,6.224,7.024927,27
147,143,821.09,520.8,6.214,8.075144,27
148,148,827.23,521.2,6.186,8.020327,27
149,150,833.34,522.6,6.14,6.35599,27
154,153,863.2,523.8,6.056,3.7136455,27
155,154,869.54,524.2,6.056,4.9994974,27
157,155,881.09,525.2,6.028,3.9691415,27
159,155,892.77,526.0,6.009,3.3237536,27
160,156,898.89,526.0,6.009,3.6849015,27
162,156,911.0,526.4,6.037,4.097764,27
166,159,934.99,526.6,5.906,0.6751321,27
168,160,946.78,527.8,5.897,-0.9264096,27
170,162,957.38,528.0,5.888,-1.5110493,27
177,162,999.71,528.8,5.888,-2.2950084,27
184,160,1044.49,527.2,6.252,-2.7504387,27
186,159,1057.95,526.8,6.27,-6.587975,27
189,159,1076.4,525.6,6.27,-5.0794706,27
191,158,1088.52,524.8,6.27,-8.965903,27
192,158,1096.19,524.2,6.345,-8.667501,27
194,157,1109.21,523.4,6.354,-9.59984,27
195,157,1116.04,523.0,6.354,-0.8926173,27
196,157,1121.29,522.6,6.252,-0.48214382,27
197,157,1127.62,521.2,6.354,1.2907103,27
199,158,1141.46,520.2,6.42,2.8120635,27
200,158,1146.47,519.6,6.42,4.532081,27
201,159,1152.63,518.6,6.298,6.8451004,27
208,158,1199.04,520.8,6.476,4.541417,27
209,158,1205.43,522.2,6.476,13.101804,27
210,158,1211.72,523.2,6.448,12.7992,27
212,156,1223.42,524.6,6.448,12.411435,27
214,155,1237.45,526.0,6.438,12.047332,27
215,154,1244.1,527.0,6.401,12.893379,27
217,152,1256.95,529.4,6.401,9.904062,27
218,151,1263.38,529.8,6.401,8.4283495,27
220,149,1276.42,531.0,6.438,7.173987,27
223,148,1296.5,532.4,6.503,1.9105532,27
226,147,1316.39,534.6,6.531,-1.4214422,27
228,147,1329.02,534.8,6.541,-2.1675375,27
236,146,1381.1,533.4,6.429,0.0,27
237,146,1387.71,533.4,6.457,1.98526,27
238,146,1394.27,533.2,6.466,2.505824,27
241,146,1413.78,532.0,6.466,4.890649,27
243,146,1425.41,531.2,6.41,7.232717,27
247,146,1451.67,533.4,6.466,5.3039136,26
250,146,1471.91,534.8,6.466,3.0015523,26
251,147,1478.35,535.4,6.457,3.0093074,26
253,147,1491.43,536.2,6.466,1.998037,26
260,148,1538.56,535.8,6.42,2.3685718,26
266,149,1576.1,537.4,6.438,2.477936,26
270,150,1603.3,537.8,6.448,0.31646505,26
272,150,1617.65,539.0,6.597,-6.5189877,26
275,149,1639.53,539.0,6.849,-7.023414,26
276,149,1647.53,538.0,7.67,-5.560659,26
277,149,1655.6,536.8,7.931,-4.1332803,26
279,148,1671.88,535.6,8.099,-2.6831102,26
282,145,1697.22,535.2,7.996,-4.1785674,26
284,142,1715.38,534.8,8.985,-7.008128,26
285,141,1724.66,534.0,9.051,-8.012334,26
287,138,1743.53,533.0,9.461,-7.5681767,26
289,135,1763.0,531.4,9.629,-6.4050107,26
291,133,1782.94,530.2,9.461,-6.4789224,27
292,132,1793.18,528.6,9.545,-5.2997203,26
295,130,1824.92,527.2,10.581,-4.4621673,27
296,129,1835.98,526.2,10.889,-6.577962,27
297,129,1847.23,525.8,11.16,-5.8005223,27
300,128,1882.81,524.8,11.971,-5.2298937,27
302,128,1908.47,522.4,12.802,-7.266999,27
303,128,1921.71,521.6,13.1,-8.546355,27
304,128,1935.16,520.8,13.278,-6.975902,27
306,127,1962.5,518.6,13.492,-4.696672,26
308,126,1990.7,517.0,14.061,-6.361014,26
309,125,2005.05,516.0,14.276,-8.329038,26
310,124,2022.38,514.8,14.332,-6.601004,26
312,123,2048.52,513.2,14.061,-5.7712708,26
314,122,2078.0,511.2,14.332,-5.7063556,26
315,122,2092.8,510.0,14.416,-8.130262,26
317,120,2122.3,508.4,14.528,-8.430687,26
318,119,2137.17,507.0,14.565,-8.675972,26
319,116,2152.26,505.2,14.584,-7.7262535,26
321,114,2182.43,503.4,14.724,-6.6632476,26
323,112,2212.52,501.8,14.817,-5.99588,26
325,111,2242.63,499.4,14.817,-3.0269837,26
327,111,2272.09,498.2,14.817,-1.753241,26
329,110,2299.81,497.6,13.791,-4.436805,26
331,110,2326.38,497.2,13.156,-4.464006,26
333,111,2353.58,495.2,12.391,-2.3263578,26
334,111,2365.23,494.8,11.757,-2.6770008,26
339,110,2421.34,494.2,11.01,-2.1531322,26
342,110,2453.33,493.0,11.076,-0.7471069,26
