time,heartrate,distance,altitude,velocity_smooth,grade_smooth,temp
0,62,0.0,510.8,0.0,-30.0,34
9,59,1.48,510.8,0.0,-30.0,34
16,62,1.48,510.8,0.0,-30.0,34
18,63,1.67,509.8,0.0,-30.0,34
21,64,1.92,508.4,0.0,-30.0,34
23,64,2.31,507.2,0.0,-29.363846,34
25,65,2.45,506.0,0.0,-27.288324,34
27,64,2.68,505.0,0.0,-25.537037,34
28,64,2.71,504.6,0.0,-21.473528,34
31,64,4.51,503.4,0.0,-19.439817,35
34,64,5.1,502.4,0.0,-18.285938,35
38,62,5.27,501.2,0.0,-16.22079,35
40,59,5.4,500.8,0.0,-15.469768,35
42,58,5.46,500.2,0.0,-14.349411,35
45,59,5.67,499.0,0.0,-12.039219,35
48,60,6.12,497.8,0.0,-9.749791,35
51,61,7.03,496.6,0.0,-7.498255,35
54,61,7.29,495.4,0.0,-3.6331677,35
58,62,7.64,494.0,0.0,-1.0956755,35
59,62,7.72,493.8,0.0,-0.7352498,35
62,63,8.27,493.0,0.0,0.7362211,35
66,63,8.29,492.0,0.0,2.6008515,35
70,63,8.29,491.0,0.0,4.4945316,35
75,65,8.29,489.8,0.0,6.741826,35
80,63,8.29,488.6,0.0,9.061041,35
83,60,8.29,488.0,0.0,10.4981985,35
90,61,8.29,487.4,0.0,11.697321,35
101,62,11.43,486.4,0.0,13.646873,35
105,62,11.73,486.2,0.0,15.883575,35
116,63,11.78,485.4,0.0,17.689089,35
131,63,14.31,484.4,1.745,19.611813,36
133,63,17.69,484.4,1.745,18.090668,36
137,65,31.75,485.6,3.77,17.05571,36
138,66,36.42,488.0,4.161,13.167304,36
139,65,41.26,489.8,4.581,11.046119,36
140,67,46.24,491.0,4.637,9.74677,36
141,67,51.33,492.2,4.731,9.306814,36
142,67,56.59,492.8,4.787,11.19935,36
143,67,61.85,493.4,4.581,11.187508,36
146,68,77.59,494.6,4.787,9.54665,36
149,71,92.64,495.8,4.899,10.314775,36
150,72,97.88,496.0,5.001,13.097709,36
152,73,108.45,497.0,5.085,13.0810995,36
155,76,124.74,499.2,5.151,12.58047,36
157,78,135.71,500.6,5.235,13.800106,36
158,79,141.22,501.8,5.244,20.271301,36
159,79,147.62,502.6,5.244,21.811005,36
160,80,152.9,503.2,5.244,22.702333,36
165,81,178.51,504.2,5.132,18.88675,35
167,82,189.13,508.0,5.132,19.52506,35
168,82,193.52,512.6,5.188,17.86677,35
169,83,200.46,514.0,5.188,16.821861,35
173,86,223.02,515.2,5.44,16.749924,35
174,86,228.82,517.4,5.552,30.0,35
175,87,234.86,517.8,5.58,30.0,35
178,86,251.82,518.8,5.664,30.0,35
179,85,257.86,523.8,5.804,30.0,35
180,84,264.97,527.8,5.804,30.0,35
181,84,271.04,532.4,5.85,25.089233,35
182,84,277.34,536.6,5.878,21.250563,35
183,83,283.47,541.4,5.878,15.781589,35
184,83,288.23,543.4,5.878,13.982235,35
185,83,295.15,546.0,5.804,10.289775,35
187,83,306.31,550.6,5.645,1.156161,35
188,83,310.69,553.2,5.626,-8.073918,35
193,81,340.8,552.2,5.626,-6.7818575,35
194,81,347.14,551.4,5.626,-3.4594426,35
195,81,354.07,551.2,5.645,-3.4934313,35
