time,cadence,heartrate,distance,altitude,velocity_smooth,grade_smooth,temp
0,0,88,0.0,248.0,0.0,-3.2494187,35
1,0,89,1.24,249.0,0.0,-3.2494187,35
2,0,89,2.77,250.4,0.0,-3.3146596,35
4,55,92,5.71,251.2,0.0,-3.0332978,35
5,55,93,7.55,251.8,0.69,-3.1059816,35
6,55,94,9.48,252.2,0.756,-3.1320183,35
8,55,95,12.54,253.2,1.316,-3.1559775,35
12,54,99,16.79,254.4,1.409,-2.9704576,35
15,55,101,20.24,254.6,1.372,-3.0946345,35
16,56,104,21.38,255.0,1.353,-3.0034602,35
17,56,104,23.01,255.6,1.344,-2.9230132,35
21,56,106,29.09,256.8,1.316,-2.7756348,35
24,56,110,33.9,257.2,1.334,-2.7768786,35
27,57,112,37.7,257.0,1.4,-2.3815157,35
28,57,107,38.81,256.8,1.428,-2.2716565,35
29,55,107,40.03,256.8,1.437,-2.0516605,35
33,59,107,44.82,255.8,1.418,-1.8382498,35
37,57,107,51.11,255.6,1.409,-1.5223876,35
42,58,107,59.84,254.8,1.456,-1.4659646,35
47,58,103,66.77,254.2,1.54,-1.1019691,35
49,58,105,69.46,253.2,1.54,-0.8069432,35
54,58,102,75.11,253.4,1.512,-0.22727767,35
56,58,101,77.61,254.4,1.484,0.15197581,35
59,58,102,81.81,255.6,1.446,0.33976415,35
65,58,101,92.36,256.6,1.418,0.8391128,35
70,58,103,101.49,256.6,1.465,1.6819359,35
74,58,104,108.35,255.4,1.512,2.896902,35
77,58,105,112.78,254.2,1.53,3.901263,35
80,58,102,116.77,253.2,1.54,4.73569,35
81,58,102,117.94,253.0,1.54,4.19072,35
86,58,101,123.14,251.6,1.521,4.163964,35
91,57,104,130.44,251.6,1.474,4.356472,35
92,57,102,131.97,252.0,1.474,5.429027,35
97,57,99,140.41,252.6,1.474,5.339141,35
100,57,96,144.96,252.4,1.484,6.1952643,35
101,58,97,146.33,252.4,1.484,6.1603236,35
102,58,99,147.64,252.8,1.484,6.029119,35
105,58,98,151.99,254.0,1.493,5.8535266,35
109,58,98,157.1,255.4,1.484,5.448484,35
110,58,98,158.38,256.4,1.474,5.595502,35
111,58,99,159.76,257.2,1.474,5.308986,35
113,58,102,162.47,258.2,1.465,5.110106,35
114,59,103,163.79,258.4,1.456,5.287955,35
123,56,106,178.82,257.8,1.456,5.0488415,35
124,56,106,180.22,257.4,1.456,5.5653825,35
125,56,102,181.53,257.2,1.456,5.277537,35
128,56,105,185.01,256.8,1.465,4.982833,35
129,57,106,186.23,256.4,1.456,4.310358,35
132,56,105,190.96,255.2,1.446,3.9575772,35
135,57,103,196.35,254.0,1.437,3.8538446,35
137,56,102,199.65,253.4,1.437,3.7085197,35
142,57,105,207.92,253.8,1.465,2.8265362,35
145,58,101,212.16,254.6,1.484,2.8780906,35
146,57,101,213.39,255.4,1.484,2.7343962,35
148,57,99,215.46,256.0,1.484,2.3284817,35
149,57,100,216.59,256.0,1.484,2.0803213,35
152,57,98,220.2,256.4,1.465,1.7999041,35
154,57,98,223.16,257.6,1.456,1.6704459,35
157,57,102,228.43,258.8,1.446,1.4935794,36
160,57,105,233.87,260.2,1.446,0.944042,36
166,58,108,242.73,260.2,1.484,0.88388085,35
168,0,112,245.66,260.4,1.484,0.707069,35
170,59,112,248.09,260.6,1.484,0.59720296,35
180,56,109,262.7,261.0,1.465,0.16085626,35
182,0,109,267.48,261.4,1.474,-0.19338381,35
183,79,108,270.17,262.8,1.502,-0.3315054,35
184,79,109,272.84,263.8,2.221,-0.46933213,35
185,79,109,275.6,264.8,2.221,-0.72619176,35
186,79,110,278.14,265.8,2.183,-0.863162,35
191,78,111,291.51,267.0,2.174,-0.9104433,35
193,78,112,296.8,267.6,2.211,-1.3550721,35
195,78,113,303.67,268.2,2.258,-1.5478365,35
201,77,115,322.37,268.6,2.547,-1.578597,35
204,80,119,332.57,267.4,2.65,-2.0189068,35
206,80,120,339.15,267.0,2.669,-2.0601645,35
207,81,122,342.31,267.0,2.687,-1.6138775,35
209,80,121,348.65,266.6,2.725,-1.5129737,35
211,80,123,355.01,265.6,2.827,-1.4069322,35
213,80,122,361.72,264.6,2.855,-1.2865981,35
215,80,121,367.88,263.0,2.893,-0.8134529,35
216,80,121,371.09,262.8,2.902,-0.6678848,35
220,79,121,382.6,261.4,2.976,-0.4732233,35
222,79,121,388.57,261.2,2.976,-0.2990914,35
228,79,122,407.11,261.2,3.014,-0.0109850215,35
235,81,123,427.39,262.4,3.06,0.2571034,35
237,81,125,433.67,262.6,3.088,0.5203643,35
238,81,125,436.42,262.6,3.088,0.589443,35
241,80,124,445.85,263.8,3.098,0.5429438,35
244,80,125,454.38,265.4,3.098,0.62042224,35
245,80,126,457.33,266.2,3.098,0.6497062,35
246,80,128,459.99,266.8,3.098,0.6184909,35
249,80,130,468.65,268.0,3.079,0.48870286,35
253,80,132,480.85,268.8,3.06,0.53382444,35
255,80,135,486.87,269.0,3.06,0.7330783,35
256,80,135,490.0,269.2,3.06,0.7672378,35
258,81,137,495.36,270.2,3.051,0.7640723,35
264,81,139,511.02,270.6,3.004,0.6188457,35
269,80,142,522.54,270.8,2.958,0.52526486,35
270,80,142,524.11,271.0,2.893,0.4028373,35
272,81,142,526.91,271.0,2.79,0.29283512,35
273,81,143,528.28,271.0,2.725,0.1739363,35
279,79,141,541.68,270.2,2.389,0.066789754,35
282,79,141,547.94,271.4,2.37,0.0020956246,35
287,79,141,556.67,270.4,2.211,0.015366161,35
289,57,140,559.29,268.8,2.118,0.023946388,35
291,57,140,561.37,267.2,1.717,0.018752083,35
293,56,138,563.38,265.6,1.577,0.013211311,35
295,56,135,565.44,264.4,1.484,0.012751122,35
297,57,133,568.24,263.2,1.381,0.011561219,35
299,56,131,571.52,261.6,1.353,0.0110408105,35
301,56,129,574.87,259.8,1.39,0.009894625,35
303,58,127,578.99,258.0,1.465,0.0057685166,35
304,58,127,581.04,256.8,1.484,0.005405739,35
305,58,127,583.02,255.8,1.512,0.0011782051,35
306,58,126,584.87,255.0,1.54,0.09187242,35
307,58,126,586.72,254.2,1.577,0.08653179,35
309,57,125,589.81,252.6,1.614,0.08125773,35
312,56,122,593.44,251.4,1.652,0.07919867,35
315,55,117,596.59,250.6,1.633,-0.11367723,35
316,55,120,597.71,250.4,1.558,-0.26841643,35
317,57,119,599.01,250.2,1.502,-0.28071526,35
318,57,119,600.39,249.6,1.456,-0.29352844,35
321,57,116,605.03,249.6,1.353,-0.30887973,35
325,57,113,612.1,249.2,1.362,-0.46228603,35
326,57,114,613.53,248.8,1.381,-0.44255608,35
329,57,111,617.78,247.2,1.418,-0.4557301,35
331,57,110,620.35,246.2,1.428,-0.49655187,35
337,56,109,626.93,246.0,1.4,-0.5242408,35
340,57,108,631.66,245.8,1.381,-0.6704996,35
344,57,108,638.24,247.4,1.362,-0.8614389,35
345,57,107,639.94,248.8,1.372,-1.2674366,35
346,57,107,641.53,249.8,1.381,-1.3803076,35
348,57,106,644.33,251.4,1.409,-1.3375278,35
349,56,106,645.76,252.0,1.409,-1.3744111,35
354,56,109,651.27,252.2,1.418,-1.3115904,35
356,55,113,654.37,251.2,1.4,-1.359189,35
357,55,114,655.92,250.8,1.4,-1.285009,35
366,78,116,674.13,253.4,1.484,-1.2542402,35
367,78,116,676.43,255.8,1.642,-1.5114003,35
368,79,116,679.15,257.6,1.801,-1.522438,35
369,79,116,681.88,259.6,2.043,-1.3120642,35
370,79,116,684.46,261.2,2.165,-1.2283508,35
371,79,118,686.87,262.6,2.183,-1.139498,35
372,79,118,689.44,264.0,2.202,-0.7741462,35
373,79,120,691.94,265.0,2.23,-0.69449115,35
374,78,119,694.58,266.2,2.258,-0.61202615,35
376,78,118,699.43,267.6,2.286,-0.52992356,35
378,78,121,703.95,267.6,2.333,-0.46593475,35
381,78,122,711.43,267.4,2.379,-0.23418593,35
384,78,125,719.21,267.2,2.473,-0.036577504,35
386,79,129,724.46,267.0,2.501,0.052690834,35
