time,heartrate,distance,altitude,velocity_smooth,grade_smooth,temp
0,72,3.63,466.0,3.07,2.574693,29
1,72,6.85,466.0,2.771,2.574693,29
2,72,9.84,465.8,2.641,3.140669,29
4,73,17.01,465.6,2.127,5.0416813,29
6,76,27.99,465.4,2.473,6.134593,29
8,76,38.9,465.4,3.004,7.630028,29
9,79,44.68,465.4,3.658,8.552678,29
12,83,57.99,467.0,3.956,6.5463214,29
13,85,61.59,467.4,4.199,4.282332,29
15,87,69.1,468.2,4.591,1.5453327,29
17,91,77.71,468.6,4.199,-2.43502,29
18,93,83.06,469.2,4.236,-3.8207927,29
19,94,88.36,469.6,4.236,-4.969233,29
21,94,99.42,470.0,4.236,-6.717417,29
22,95,102.23,470.6,3.984,-10.313818,29
26,95,105.65,470.8,0.0,-11.239965,29
28,96,110.41,469.8,1.773,-9.795423,29
29,97,114.21,469.6,2.995,-9.180145,29
30,97,118.46,469.0,2.995,-8.7977085,29
32,98,127.24,468.0,3.975,-6.7276177,29
34,98,135.66,467.2,2.958,-1.7757678,29
36,98,138.98,467.0,1.689,-0.73675036,29
37,98,140.58,466.6,1.502,0.0,29
39,99,142.3,465.8,0.0,4.319841,29
41,95,143.35,465.0,0.0,5.965794,29
42,98,143.35,465.0,0.0,6.0963764,29
49,95,153.91,465.2,2.258,5.7467785,29
53,94,159.88,464.8,1.446,8.737514,29
55,93,161.58,464.8,0.0,7.565759,29
62,90,162.95,464.6,0.0,8.064353,29
64,89,166.35,464.6,1.745,8.239983,29
66,89,174.64,464.6,4.003,8.681708,29
67,89,181.08,465.6,6.326,8.150085,29
68,89,187.75,466.2,6.42,8.85168,29
69,89,194.72,466.6,6.42,10.67471,29
71,90,208.99,468.2,6.615,9.976331,29
74,92,228.63,469.6,6.336,8.590349,29
75,93,235.45,470.0,6.42,9.181251,29
76,95,242.07,471.0,6.429,6.776868,29
77,97,248.71,472.4,6.42,5.067992,29
78,97,255.55,473.6,6.429,3.8510118,29
80,101,269.27,474.8,6.448,2.1672819,29
82,104,283.12,474.8,6.522,5.075747,29
84,109,297.32,475.0,6.597,5.3683887,29
86,112,311.26,475.2,6.597,6.250739,29
89,113,332.26,476.0,6.625,6.36692,29
93,115,361.24,478.0,6.755,3.3719933,29
94,116,368.86,479.2,6.755,4.894571,29
98,119,397.75,479.8,6.914,4.4485145,29
99,119,405.85,480.2,6.933,-1.9992368,29
101,119,422.62,481.4,7.082,-4.1975965,29
104,119,444.31,482.2,7.306,-7.3009286,29
107,121,467.53,480.0,7.455,-9.14229,29
109,124,485.73,478.8,7.53,-9.988887,29
110,126,493.69,477.6,7.53,-6.8357854,29
111,128,501.03,476.2,7.53,-5.8058343,29
113,129,514.33,474.8,7.67,-4.520088,29
114,130,521.94,474.2,7.67,-4.523165,29
115,130,529.35,473.4,7.67,-3.663729,29
121,130,576.23,474.2,7.847,-4.175536,29
127,129,625.08,471.4,8.024,-4.4403462,29
129,128,643.86,470.2,8.024,-6.1610937,29
131,128,662.52,468.4,9.256,-6.9848123,29
133,129,680.22,467.0,9.797,-9.501235,29
134,128,690.5,466.8,10.068,-10.190823,29
135,129,701.15,465.6,10.31,-4.7060523,29
136,128,712.42,464.4,10.693,-4.040952,29
137,128,723.27,463.0,11.02,-3.0199618,29
138,128,737.29,461.2,11.029,-1.2244574,29
144,126,805.07,461.0,11.402,-1.179534,29
147,126,834.84,460.2,9.499,-8.653452,29
148,126,842.01,459.8,7.726,-5.1818657,29
149,127,847.55,458.4,6.531,-3.15017,29
150,128,852.05,457.4,5.029,2.258313,29
151,129,855.99,456.4,4.759,3.910192,29
152,130,861.02,455.8,4.759,5.125252,29
153,130,866.51,455.4,5.776,6.2524505,29
154,131,874.27,455.2,5.962,7.3489084,29
157,133,892.58,455.0,6.933,8.470179,29
161,131,918.15,456.8,6.634,7.538184,29
163,131,933.33,459.0,6.933,4.7529387,28
166,129,953.62,460.0,6.923,2.7020664,28
169,128,972.89,461.4,5.878,1.1595541,28
170,128,976.46,461.6,4.777,2.3632758,28
175,128,999.93,461.6,5.44,2.5012429,28
179,128,1022.8,461.8,5.43,2.0278583,28
181,129,1032.27,462.2,5.43,-0.78995097,28
182,129,1038.5,463.0,5.43,-3.5960863,28
184,130,1046.83,464.4,4.675,-6.0958805,28
187,130,1059.13,464.4,3.648,-7.111915,28
193,128,1073.4,463.0,2.127,-4.3244324,28
196,127,1080.76,461.8,3.051,1.401137,28
198,126,1087.95,461.2,4.404,2.5103836,28
200,126,1097.31,461.0,4.6,3.1651876,28
202,126,1109.81,460.8,5.477,2.359991,28
203,127,1115.83,460.8,5.356,2.7658148,28
208,127,1144.44,461.8,5.477,1.5093987,28
214,124,1181.93,462.8,5.897,3.5335653,28
215,125,1189.51,462.8,6.308,4.8665395,28
217,126,1200.93,464.0,6.308,3.435974,28
219,129,1213.34,464.8,6.308,2.0848124,28
220,130,1219.33,465.6,6.308,2.4139557,28
221,131,1225.27,465.6,6.289,2.6940885,28
225,133,1247.73,466.0,5.981,3.5371897,28
227,132,1258.5,466.0,5.86,4.549759,28
229,132,1271.3,466.0,5.86,3.566566,28
230,132,1275.94,467.0,5.86,2.6582425,28
232,132,1288.78,467.8,5.85,1.4407823,28
233,133,1295.29,468.0,5.85,0.4706322,28
234,133,1300.24,468.0,5.962,0.5077774,28
235,133,1307.87,468.4,5.981,0.0,28
239,133,1331.26,468.6,6.056,-0.30279103,28
246,134,1373.99,468.6,6.102,-1.4128102,28
248,134,1387.96,468.4,6.14,-0.3082282,28
251,132,1407.25,467.8,6.205,0.7892663,28
256,135,1438.75,467.2,6.569,2.299507,28
258,135,1452.12,468.2,6.606,1.7984949,28
264,134,1494.35,469.0,6.989,1.9825723,28
265,136,1502.62,469.2,7.026,1.5113609,28
267,136,1517.34,470.0,7.119,0.3457622,28
270,135,1538.39,470.2,7.157,0.0,28
273,136,1560.4,470.4,7.231,-0.3368127,28
278,135,1597.85,470.2,7.334,0.3855497,28
280,136,1612.1,470.2,7.306,0.37206408,27
283,136,1633.74,470.4,6.326,0.6716784,27
285,136,1644.87,470.4,6.093,3.3074017,27
286,135,1651.35,470.4,6.382,1.6301621,27
287,135,1657.74,470.4,6.569,1.8189671,27
289,133,1671.55,470.4,6.382,0.6512889,27
290,133,1677.59,470.8,6.326,3.189867,27
292,131,1688.14,471.4,6.093,2.3772047,27
296,129,1706.08,472.2,3.518,1.161154,27
299,128,1718.93,471.4,4.544,3.1437957,27
301,128,1727.9,470.8,5.263,4.7796516,27
306,128,1756.99,472.6,5.477,1.294523,27
308,128,1768.91,473.0,5.692,0.67233795,27
309,128,1776.44,473.2,6.158,-1.4928057,27
311,127,1789.79,473.4,6.802,-2.0663211,27
312,127,1795.14,473.4,5.888,-2.217175,27
313,127,1798.43,473.6,4.227,-2.0646632,27
315,127,1806.85,473.8,3.956,-2.5551338,27
318,124,1816.53,473.6,3.294,-1.4488883,27
320,121,1822.52,473.4,3.378,0.73518765,27
323,118,1834.19,472.4,3.788,4.5321407,27
325,117,1843.71,472.2,4.684,5.043847,27
327,116,1852.83,472.2,4.563,5.8034334,27
330,117,1861.62,472.4,2.799,6.462524,27
333,118,1870.26,472.8,3.424,6.910835,27
334,118,1875.18,473.8,5.113,6.221913,27
335,117,1880.54,474.8,5.346,4.8885746,27
339,120,1905.43,475.2,5.346,4.480394,27
343,124,1928.07,475.8,5.514,2.9602113,27
345,123,1938.52,477.4,5.514,3.0596433,27
351,125,1972.81,477.8,5.626,2.575282,27
352,126,1977.94,477.8,5.682,2.6659184,27
354,127,1987.06,478.2,5.412,-0.38400492,27
355,127,1992.61,479.2,5.43,-4.2993364,27
356,131,1997.04,479.2,5.682,-6.496959,27
361,134,2025.0,479.2,4.544,-7.036289,27
362,134,2029.9,479.2,4.068,-30.0,27
365,134,2042.44,478.0,2.911,-30.0,27
367,139,2047.73,476.8,1.913,-30.0,27
368,140,2049.32,475.6,1.633,-20.225622,27
369,143,2049.78,474.2,0.0,-18.934055,27
370,146,2050.14,473.0,0.0,-17.433987,27
371,147,2050.38,471.8,0.0,-15.915214,27
372,148,2050.38,470.6,0.0,-14.29674,27
373,148,2050.38,469.4,0.0,-12.6782255,27
374,147,2050.38,468.2,0.0,-11.059752,27
375,146,2050.38,466.8,0.0,-9.171472,27
376,144,2050.38,465.2,0.0,-7.0135074,27
377,143,2050.38,464.2,0.0,-5.664759,27
378,141,2050.38,463.0,0.0,-4.0462446,27
379,140,2050.5,461.6,0.0,-2.1580055,27
380,138,2051.12,460.4,0.0,-0.5429749,27
381,137,2051.87,459.2,1.017,1.095731,27
382,136,2053.6,458.0,1.017,2.768679,27
384,135,2059.11,456.2,2.641,5.4081116,27
386,134,2064.97,456.0,2.407,6.181493,27
390,134,2075.93,456.4,2.762,6.120118,27
392,134,2085.34,456.6,4.88,7.46523,27
394,132,2096.81,456.8,5.44,8.212073,27
398,131,2124.67,458.4,7.045,6.932463,27
399,130,2132.35,460.0,6.233,9.87001,27
401,129,2146.45,460.8,6.233,9.516785,27
402,129,2154.68,461.8,7.138,11.869367,27
403,128,2161.44,462.4,7.716,9.085993,27
405,128,2177.73,464.4,7.763,6.988718,27
406,128,2187.53,465.2,7.614,6.777963,27
407,128,2195.08,466.0,7.614,7.4166713,27
408,128,2203.95,467.6,7.241,5.920409,27
411,127,2227.67,468.6,7.241,4.230496,27
412,127,2233.76,469.0,6.569,-2.225155,27
413,127,2241.46,469.0,6.569,-5.2103424,27
414,127,2248.91,470.0,6.765,-7.9901876,27
415,127,2256.16,470.8,6.979,-12.171529,27
416,127,2264.23,470.8,6.839,-13.852964,27
419,125,2281.62,469.8,5.748,-14.750786,27
421,125,2291.41,467.8,5.235,-25.168892,27
422,125,2296.99,466.0,4.833,-30.0,27
424,125,2306.59,464.8,4.283,-30.0,27
426,125,2313.48,463.8,2.799,-30.0,27
427,125,2317.17,462.6,2.463,-30.0,27
428,125,2319.61,462.0,2.669,-30.0,27
429,125,2322.65,461.2,2.594,-28.344606,27
430,125,2325.41,460.2,2.799,-28.178968,27
