time,cadence,heartrate,distance,altitude,velocity_smooth,grade_smooth,temp
0,55,80,0.0,226.4,1.558,-0.76166147,30
1,55,80,2.2,226.2,1.334,-0.76166147,30
5,82,82,11.7,226.2,1.838,-0.70544815,30
8,83,86,18.7,226.2,2.743,-0.47275266,30
10,83,89,23.5,226.4,2.706,-0.27603608,30
12,83,93,28.34,226.6,2.501,-0.1637009,30
14,83,97,33.74,226.6,2.351,-0.20317493,30
17,82,99,41.85,227.0,2.342,-0.19709365,30
23,83,101,57.63,227.4,2.463,-0.6993273,30
24,82,102,60.54,227.6,2.482,-2.440664,30
26,82,103,64.69,227.6,2.51,-2.6444988,30
28,82,103,69.13,227.6,2.501,-2.8840764,30
30,82,103,74.23,227.0,2.482,-3.0770655,30
32,81,104,78.18,226.8,2.51,-3.2949524,29
33,81,104,80.67,226.8,2.51,-3.8420537,30
35,81,105,84.89,226.4,2.501,-3.8813012,29
36,81,105,86.67,226.2,2.482,-4.0913825,29
39,82,106,93.47,225.6,2.407,-3.6239712,29
40,81,106,95.62,225.4,2.398,-3.8513746,29
42,81,107,99.83,224.8,2.389,-3.7997997,29
44,82,108,103.57,224.4,2.398,-3.5266879,29
45,82,109,105.75,224.2,2.389,-3.4222395,29
46,81,109,109.24,224.2,2.389,-3.2095854,29
50,81,108,117.79,223.2,2.398,-3.182127,29
54,81,106,126.16,222.2,2.389,-3.0025542,29
55,80,106,128.19,221.8,2.389,-3.0885477,29
57,81,107,132.0,221.4,2.389,-2.873208,29
59,81,108,135.88,221.0,2.379,-2.7281296,29
64,81,106,147.11,219.8,2.351,-3.2482495,29
69,81,104,158.16,218.4,2.323,-4.286201,29
73,80,104,167.34,217.4,2.323,-4.982613,29
80,80,102,185.47,216.6,2.342,-5.104888,29
81,80,102,187.93,216.4,2.342,-6.6345167,29
84,81,104,194.72,215.2,2.342,-6.3244095,29
87,81,102,201.98,214.2,2.351,-6.307296,29
89,81,102,207.15,214.0,2.351,-5.991777,29
94,80,103,218.7,213.0,2.361,-5.7447095,29
96,81,105,223.55,212.6,2.361,-6.8102474,29
98,82,107,228.27,212.0,2.37,-6.598808,29
102,81,106,237.79,210.8,2.37,-7.9424014,29
104,81,106,242.89,210.4,2.37,-7.6476636,29
107,81,105,249.63,209.8,2.37,-7.5999694,29
111,81,103,258.93,208.6,2.379,-8.33545,29
112,81,102,260.93,208.0,2.379,-9.73527,29
115,81,100,267.87,207.4,2.37,-9.520335,29
