time,cadence,heartrate,distance,altitude,velocity_smooth,grade_smooth,temp
0,58,92,0.0,223.6,1.577,-1.0175685,28
4,57,88,6.24,223.6,1.521,-0.9288972,28
6,82,91,10.16,223.6,2.053,-0.9464403,28
7,82,93,12.76,223.6,2.109,-1.2114009,28
8,82,96,15.4,223.6,2.155,-1.3295773,28
10,83,99,20.99,223.6,2.155,-1.3152359,28
12,83,103,25.0,223.6,2.249,-1.4249673,28
14,83,104,30.82,223.6,2.295,-1.4589057,28
18,83,108,40.68,223.8,2.389,-1.5655566,28
22,81,111,49.15,223.8,2.417,-3.1661775,28
26,81,111,56.63,222.6,2.407,-3.9722598,28
27,81,114,59.44,222.2,2.379,-3.9682925,28
28,81,115,61.49,222.0,2.361,-4.0312386,28
31,82,116,68.46,221.6,2.333,-3.9658751,28
36,80,117,82.11,220.6,2.202,-4.205275,28
37,80,115,84.82,220.4,2.202,-5.222185,28
39,81,115,88.71,219.6,2.211,-5.018835,28
40,81,114,90.75,219.4,2.239,-4.88295,28
41,81,113,93.74,219.4,2.258,-5.0096483,28
42,81,112,96.34,219.2,2.277,-4.7919707,28
44,80,112,101.5,218.4,2.295,-4.385364,28
45,80,112,104.1,218.0,2.314,-4.3640766,28
51,80,113,120.44,216.6,2.417,-4.0505924,28
52,80,113,123.04,216.4,2.435,-5.086081,28
54,81,116,127.33,216.0,2.463,-4.884738,28
57,79,116,134.98,215.6,2.501,-4.7520866,28
59,80,115,140.57,214.8,2.519,-4.7978992,28
60,80,116,143.83,214.4,2.529,-4.8366737,28
63,79,118,154.09,213.2,2.566,-5.040883,28
65,79,118,161.8,212.2,2.585,-5.031251,28
66,80,117,164.63,211.8,2.631,-5.4505916,28
70,81,117,181.08,211.0,2.893,-4.983592,28
73,80,118,191.54,210.0,3.154,-6.458126,28
74,80,118,195.35,209.6,3.238,-7.77482,28
78,81,117,208.07,208.8,3.284,-7.5530286,28
80,80,117,213.55,208.2,3.378,-7.388434,28
82,80,121,220.58,207.8,3.396,-7.782626,28
83,80,120,222.92,207.6,3.387,-8.012377,28
84,80,121,226.2,207.2,3.322,-7.6259813,28
87,80,123,236.12,206.2,3.191,-7.3166924,28
88,80,120,239.53,205.6,3.191,-8.6285305,28
89,81,122,242.32,205.2,3.238,-8.399359,28
91,81,121,247.3,205.0,3.275,-7.156704,28
96,80,122,261.47,204.0,3.266,-6.98928,28
97,80,119,264.96,203.6,3.256,-8.862805,28
98,80,122,270.05,202.8,3.275,-8.440001,28
100,80,125,280.16,202.4,3.471,-7.964301,28
101,80,126,284.32,202.0,3.471,-8.927703,28
103,83,128,291.62,201.6,3.462,-8.54269,28
107,82,131,306.45,201.0,3.452,-8.864681,28
108,81,129,309.39,200.8,3.406,-11.74818,28
110,81,128,315.6,200.6,3.275,-11.292835,28
113,81,128,324.21,199.2,3.238,-11.634352,28
115,81,126,329.5,198.8,3.228,-13.387757,28
118,80,126,336.34,198.0,3.228,-13.187136,28
120,80,127,339.68,197.0,3.154,-13.949241,28
126,0,129,349.24,196.0,2.183,-11.962529,29
127,63,130,351.28,195.8,1.969,-12.917105,29
129,62,127,355.21,195.6,1.959,-11.934767,29
132,63,126,360.44,194.8,1.885,-11.658797,29
134,63,127,363.19,194.4,1.857,-11.696171,29
138,64,126,369.17,193.4,1.819,-11.412906,29
140,64,121,372.35,193.0,1.791,-12.077108,29
141,64,118,374.01,192.8,1.782,-12.241377,29
143,64,115,376.96,192.2,1.773,-12.043838,29
147,66,113,383.57,191.2,1.754,-11.476003,29
150,64,111,387.25,190.0,1.764,-12.649483,29
157,63,109,399.01,189.0,1.726,-12.274531,29
161,64,108,404.74,188.0,1.708,-14.027336,29
162,65,107,406.28,187.8,1.698,-13.608201,29
168,64,106,416.15,186.4,1.652,-12.741641,29
170,65,107,419.63,186.0,1.652,-13.323331,29
172,65,108,422.63,185.4,1.642,-13.232026,29
174,65,105,425.69,184.8,1.642,-12.843177,29
177,63,105,431.21,184.4,1.633,-12.413167,29
178,64,103,432.91,184.0,1.633,-13.041223,29
181,65,104,438.77,183.2,1.633,-12.143605,29
187,64,103,448.37,182.0,1.633,-12.177841,29
188,65,103,449.19,181.6,1.633,-13.656671,29
