time,heartrate,distance,altitude,velocity_smooth,grade_smooth,temp
0,80,7.67,466.8,3.238,5.727908,29
4,77,18.22,467.4,3.639,4.6539183,29
5,77,20.26,467.8,3.639,5.787588,29
6,77,21.57,467.8,3.723,6.0300193,29
7,76,24.55,468.2,1.204,5.4222093,29
8,77,27.78,468.6,1.204,4.742457,29
9,78,32.98,468.8,2.491,4.7077837,29
10,78,35.97,469.0,2.669,4.122144,29
13,81,48.41,469.4,2.874,3.0928535,29
15,82,56.85,469.8,2.669,1.5078851,29
16,82,61.59,470.0,2.631,4.3296494,29
17,82,67.7,470.4,2.631,3.348424,29
18,83,75.14,471.0,2.631,2.6959918,29
19,83,82.95,471.2,2.538,2.705667,29
20,83,83.68,471.2,0.0,0.33957195,29
22,83,88.4,471.0,1.847,0.7108146,29
23,83,89.28,470.8,1.847,1.1760397,28
26,83,96.12,470.6,1.129,0.6602678,28
27,83,98.07,470.6,1.129,0.7508543,28
28,85,102.94,471.2,1.017,-0.3937731,28
30,83,121.92,472.2,2.183,-3.7313204,28
32,84,136.51,472.6,1.568,-6.5601606,28
37,84,147.54,471.4,0.0,-4.298029,28
39,85,155.21,471.0,0.0,-4.455895,28
42,87,162.01,470.2,0.0,-2.9276001,28
43,87,163.72,470.0,0.0,1.2278043,28
44,88,166.32,469.8,1.922,1.509266,28
47,89,175.82,469.4,2.258,2.0804338,28
51,91,201.01,469.0,5.878,2.9649,28
52,91,209.28,468.6,6.681,2.9951048,28
56,91,242.82,468.6,6.671,3.272818,28
64,91,300.72,471.0,6.671,1.0352361,28
66,91,310.0,471.6,6.559,-0.33243,28
69,89,331.36,471.8,6.559,-0.7915759,28
73,89,360.65,471.6,7.185,0.0,28
74,89,368.04,471.4,7.231,-0.7904193,28
80,90,404.52,471.4,7.147,-1.9635173,28
81,91,411.55,471.6,7.203,-3.149917,28
86,92,449.6,471.0,7.912,-2.5429022,28
89,92,474.34,469.8,8.575,-3.800055,28
91,92,490.74,469.4,8.286,-3.4211142,28
93,91,507.46,468.6,8.398,1.0042652,28
96,92,532.65,467.6,8.584,3.7284455,28
98,92,550.26,467.4,8.939,4.6482663,28
101,93,576.94,469.2,8.892,2.8783627,28
104,91,605.78,470.2,9.293,-1.898976,28
105,91,612.89,470.8,8.239,-5.9900055,28
107,91,619.74,471.0,4.367,-7.028459,28
110,90,625.26,470.4,1.549,-6.0336814,28
112,89,629.15,469.8,2.435,-5.561092,28
114,90,634.3,469.2,2.613,-5.8520103,28
115,91,637.45,469.0,2.79,-6.026701,28
116,91,643.26,468.2,4.106,-4.940093,28
117,91,650.74,468.0,6.755,-5.1490483,28
118,92,658.44,467.6,7.558,-3.8623888,28
119,94,666.46,467.6,7.577,-4.210691,28
120,95,675.16,467.2,7.716,-4.127173,28
122,96,693.83,467.0,9.004,-4.371739,28
127,96,744.0,465.4,9.657,-2.7922535,28
129,95,764.49,464.0,9.405,-5.517498,28
130,94,772.73,463.4,8.976,-6.342266,28
131,93,781.72,462.8,7.11,-7.269541,28
132,93,792.06,462.8,7.11,-8.775089,28
133,93,801.42,461.6,7.688,-5.940083,28
135,93,817.5,460.8,7.483,-4.1858373,28
136,93,824.38,460.0,6.783,-3.781975,28
137,93,831.59,459.0,6.783,-2.3429806,28
139,92,845.8,458.4,5.944,-1.4823161,28
141,92,858.36,458.4,5.785,-3.187615,27
142,92,864.36,458.4,5.906,-6.06285,27
144,93,875.64,458.2,5.962,-5.3102827,27
146,93,885.11,457.8,4.945,-7.025792,27
147,93,890.37,457.6,4.525,-8.118983,27
152,92,908.26,456.6,2.958,-6.9724464,27
153,92,910.89,456.4,2.883,-8.871849,27
158,92,924.34,455.2,2.939,-4.334837,27
159,92,926.55,455.0,2.557,-5.0691104,27
163,94,932.81,454.2,1.437,-2.6759617,27
168,93,941.71,453.2,1.67,-1.1235372,27
169,93,944.17,453.0,1.67,0.35143647,27
173,91,953.05,452.0,1.791,2.1968768,27
176,91,959.8,451.6,1.903,2.8253615,27
181,92,975.77,451.8,4.068,2.8197608,27
183,91,986.33,452.4,5.598,2.1049542,27
185,92,998.61,452.6,6.261,1.606582,27
189,92,1023.69,453.2,5.962,0.7636958,27
191,92,1032.77,453.6,5.673,4.1190743,27
192,92,1035.37,453.6,2.967,4.794281,27
197,90,1048.52,453.6,3.406,5.0606403,27
198,93,1050.99,453.6,3.406,7.2867513,27
201,93,1065.82,453.6,4.824,7.8157725,27
202,94,1072.53,453.6,5.981,9.870056,27
204,95,1086.95,454.8,6.746,8.952874,27
206,95,1100.67,456.2,6.998,5.559052,27
208,98,1115.24,457.4,6.746,4.8595257,27
210,98,1130.36,458.6,6.998,5.376987,27
214,98,1162.24,460.0,7.437,3.8602297,27
215,98,1170.71,460.4,7.483,4.786584,27
217,98,1187.41,461.6,7.847,3.1957831,27
220,101,1212.64,462.2,8.015,4.641133,27
221,102,1220.9,462.8,8.015,4.64599,27
222,102,1228.71,463.2,8.015,4.6238837,27
225,103,1252.02,464.4,8.015,2.107029,27
228,105,1272.4,465.2,7.903,0.7751346,27
230,105,1285.72,465.6,7.595,0.3527647,27
232,105,1298.49,465.6,6.597,0.56614447,27
237,105,1329.4,465.4,6.503,1.04221,27
241,103,1356.33,465.8,6.373,-0.22827645,27
244,104,1376.11,466.0,6.503,-0.6597009,27
250,106,1416.95,465.6,6.765,0.39457762,27
259,106,1477.53,465.6,6.737,0.6599363,27
260,107,1484.37,466.0,6.737,-0.5869575,27
264,108,1510.79,466.2,6.821,-0.97938323,27
265,108,1517.83,466.4,6.821,-2.8528132,27
269,105,1545.78,466.2,6.933,-1.9228907,27
272,105,1566.85,465.6,6.979,-1.8090239,26
277,107,1601.19,464.8,6.951,-1.6184173,26
279,107,1615.16,464.6,6.933,-1.7783132,26
281,106,1628.77,464.0,6.914,-1.1269908,26
284,106,1648.78,463.8,6.849,-0.7608433,26
287,105,1668.66,463.6,6.765,-0.34228697,26
289,105,1681.34,463.4,6.746,0.0,26
291,105,1694.27,463.4,6.634,0.0,26
293,105,1707.21,463.4,6.522,-0.26179707,26
295,105,1719.39,463.4,6.494,-0.31502193,26
298,105,1735.72,463.4,5.57,-0.3893551,26
299,105,1741.44,463.4,5.58,-0.36411282,26
304,106,1770.77,463.0,5.944,-1.1696779,26
305,106,1776.67,463.2,5.869,-10.836997,26
306,106,1782.13,463.2,5.822,-8.114164,26
308,106,1790.77,463.2,4.544,-7.278258,26
309,106,1792.94,463.2,1.81,-4.0852475,26
314,106,1793.86,462.4,0.0,-2.9242537,26
318,106,1793.86,461.2,0.0,-0.9906366,26
321,111,1793.86,460.4,0.0,0.33022898,26
322,110,1793.86,460.2,0.0,0.6604076,26
325,113,1793.86,459.2,0.0,2.311452,26
326,113,1793.86,459.0,0.0,2.6416807,26
330,113,1793.86,457.8,0.0,4.622954,26
335,112,1793.86,456.6,0.0,6.604177,26
339,109,1793.86,455.4,0.0,8.58545,26
342,105,1793.86,454.6,0.0,9.906265,26
343,103,1793.86,454.4,0.0,10.236494,27
345,100,1793.86,453.8,0.0,11.227131,27
348,100,1794.73,453.2,0.0,12.217717,27
350,100,1798.59,453.0,1.614,12.748203,27
353,100,1810.89,453.0,4.852,13.638024,27
354,100,1816.54,453.6,5.402,13.8342495,27
355,99,1822.45,455.4,5.692,11.560407,27
356,99,1828.33,457.6,5.794,8.716574,27
357,99,1834.3,459.0,5.794,8.479181,27
358,100,1839.97,459.4,5.402,9.323311,27
361,101,1854.51,460.0,4.553,9.593853,27
364,101,1866.03,460.6,3.788,13.656886,27
366,103,1875.28,461.2,4.852,14.387485,27
367,104,1880.35,462.2,4.852,15.048577,27
368,104,1885.86,463.4,5.263,12.479962,27
369,105,1892.08,464.2,6.233,12.280623,27
370,105,1898.81,465.0,6.503,11.178314,27
371,105,1905.69,467.0,6.858,8.916958,27
372,105,1912.79,467.6,6.998,10.822545,26
374,105,1926.98,468.8,7.082,9.597966,26
376,105,1939.51,470.0,6.681,9.893459,26
378,105,1952.58,470.8,6.849,10.459123,26
379,105,1959.1,471.8,6.849,8.229654,26
382,106,1977.5,473.4,6.69,6.1594205,26
384,106,1988.96,475.0,6.373,3.3242507,26
385,105,1994.74,476.6,6.373,-0.69200623,26
386,105,2000.28,476.6,6.373,-0.771345,26
388,105,2011.14,476.6,6.233,-2.6313736,26
392,106,2031.5,476.6,4.497,-3.1874719,26
396,105,2046.21,476.8,3.051,-10.807189,26
401,106,2060.85,476.2,3.051,-12.638803,26
403,107,2064.11,475.0,1.437,-8.524825,26
405,106,2064.75,473.8,1.082,-7.2436485,26
408,106,2074.97,472.4,4.693,-5.360314,26
411,107,2093.95,470.8,6.895,-3.620227,26
412,106,2101.63,470.0,7.185,-1.983334,26
413,106,2109.45,469.2,7.605,-0.7567551,26
416,109,2135.75,468.8,9.041,0.0,26
418,113,2154.37,468.6,9.069,3.0720088,26
419,115,2163.35,468.8,9.125,3.0761383,26
420,117,2171.35,468.8,9.069,2.770145,26
421,117,2182.42,468.8,9.041,1.2985512,26
422,118,2194.12,469.0,9.069,1.2132593,26
424,118,2212.81,470.4,8.631,-1.1080703,26
425,118,2220.91,470.6,8.071,-1.9676735,26
429,116,2248.24,470.4,6.177,-1.8957055,26
431,115,2259.44,469.8,5.44,-1.0593358,26
434,114,2273.76,469.6,4.311,-0.70653594,26
436,113,2283.22,469.4,4.712,-0.5656403,26
440,113,2304.79,469.0,5.384,0.0,26
446,112,2344.39,469.2,6.214,-0.3867014,26
448,111,2356.57,469.0,6.224,-2.39022,26
452,110,2383.75,469.0,6.326,-2.9217703,26
456,112,2411.54,468.4,6.699,-2.7909572,26
459,114,2434.02,467.4,6.737,-2.6139154,26
460,114,2442.08,467.0,6.746,0.5285643,26
461,117,2449.56,466.8,6.839,0.8881444,26
463,121,2464.89,466.2,7.175,2.0032895,26
464,124,2472.53,466.0,7.278,3.0657945,26
465,125,2480.1,465.8,7.278,1.0103359,26
469,129,2509.67,466.0,7.614,0.76858276,26
470,130,2517.22,467.4,7.614,-2.9887023,26
472,133,2532.22,467.6,7.633,-1.4350812,26
475,137,2555.53,466.4,7.558,0.3645578,26
476,138,2563.07,465.8,7.558,1.5167067,26
479,139,2586.89,465.8,7.688,1.6799257,26
485,138,2634.95,466.6,7.735,0.42567834,26
491,137,2680.99,467.0,7.66,0.744105,26
492,136,2688.49,467.0,7.66,6.497246,26
495,136,2708.86,467.4,6.737,8.505802,26
496,135,2715.25,467.6,6.653,11.155977,26
497,135,2721.31,467.8,6.317,11.83964,26
498,135,2727.16,468.4,6.177,13.160008,26
499,135,2733.24,469.0,6.177,14.735976,26
500,135,2740.15,470.4,6.056,15.751485,26
502,134,2752.9,471.8,5.496,17.206526,26
503,134,2759.01,472.6,5.496,16.94373,26
504,134,2764.84,473.2,5.99,18.237162,26
505,133,2770.32,473.8,5.99,19.840984,26
506,134,2775.53,474.4,5.16,20.870087,26
507,135,2781.07,475.6,5.16,17.990559,26
