time,cadence,heartrate,distance,altitude,velocity_smooth,grade_smooth,temp
0,59,118,1.83,501.2,1.334,0.13947834,26
1,59,117,3.71,502.0,1.652,0.13947834,26
2,58,118,5.25,502.8,1.661,0.32586676,26
4,58,119,8.63,504.0,1.53,0.5543025,26
6,58,122,11.79,505.0,1.418,0.6820678,26
7,58,124,12.95,505.8,1.409,0.90602314,26
9,59,127,15.58,507.4,1.4,1.0070537,26
10,59,127,17.04,508.2,1.409,1.2328198,26
11,59,129,18.98,509.0,1.418,1.2468909,26
13,59,130,22.61,510.4,1.428,1.4093355,26
14,59,130,23.88,511.4,1.428,1.6501791,26
15,58,132,25.19,512.4,1.418,1.6752516,26
16,58,131,26.37,513.4,1.4,1.7023183,26
17,58,132,27.83,514.2,1.4,1.7226031,26
18,59,133,28.81,515.0,1.381,1.7564225,26
21,59,134,33.36,516.4,1.344,1.778659,26
23,59,134,35.78,517.0,1.325,1.9498365,26
31,57,137,49.61,517.0,1.269,2.0273685,26
32,57,138,51.6,517.0,1.278,2.8334363,26
34,58,138,54.27,517.4,1.278,2.9074738,26
38,57,139,60.32,518.0,1.297,2.9310122,26
41,57,139,65.24,518.6,1.316,3.1437945,26
45,57,141,69.02,519.0,1.325,3.1743083,26
46,57,140,69.84,519.0,1.325,3.2094848,26
48,57,141,71.34,519.0,1.316,3.1099162,26
53,57,142,80.57,518.6,1.288,3.1637423,26
56,59,142,85.38,518.2,1.278,3.771576,26
58,59,145,88.46,518.0,1.278,4.586094,26
61,59,145,93.99,518.4,1.288,4.638415,26
62,59,145,95.37,518.6,1.297,5.380674,25
64,56,143,98.56,520.0,1.316,5.3492403,25
65,56,137,99.69,521.0,1.316,5.6864753,25
66,56,136,101.6,522.0,1.325,5.6601176,25
67,55,136,103.65,523.2,1.334,5.2263594,25
69,55,133,106.52,524.4,1.334,5.156882,25
71,54,133,108.87,524.4,1.344,5.217963,25
75,55,138,114.98,524.8,1.362,5.2512946,25
80,54,137,121.19,525.6,1.4,5.2640615,25
81,54,137,122.59,525.8,1.4,5.595247,25
83,54,137,124.96,527.0,1.4,5.4609237,25
85,55,137,127.87,528.4,1.4,5.4708424,25
87,55,138,130.09,529.6,1.4,4.9105096,25
89,55,139,132.29,531.0,1.39,4.920307,25
90,55,139,133.6,531.6,1.381,4.81028,25
91,55,139,134.42,532.2,1.372,4.638766,25
93,55,137,137.47,533.2,1.362,4.440604,25
95,55,140,140.44,533.8,1.362,4.4203396,25
96,55,137,141.93,533.8,1.362,5.083291,25
97,55,140,143.41,533.8,1.372,4.9959393,25
98,55,136,145.36,534.0,1.372,4.8048024,25
99,56,136,146.98,534.2,1.381,4.6925225,25
102,56,136,150.76,534.2,1.4,4.55182,25
109,55,138,160.16,534.6,1.428,4.6398964,25
111,56,134,162.92,534.6,1.428,4.738422,25
120,55,132,175.89,534.6,1.437,4.400297,25
129,55,130,189.62,535.2,1.465,4.7128468,25
130,55,129,191.28,535.2,1.465,5.6459374,25
136,56,130,200.27,536.4,1.474,5.0113354,25
142,55,131,208.26,536.4,1.502,5.1527867,25
152,55,131,223.09,536.8,1.493,6.311136,25
162,55,130,235.97,536.8,1.502,8.155715,25
166,55,130,242.75,537.4,1.502,9.481174,25
175,54,130,252.45,538.2,1.512,9.904951,25
178,53,129,256.28,538.6,1.502,10.572508,25
181,54,129,260.03,539.2,1.493,10.332775,25
183,54,129,262.18,539.8,1.484,10.099324,25
186,57,128,266.24,540.6,1.465,9.56766,25
189,57,128,270.92,540.4,1.428,8.678751,25
193,78,127,280.47,540.8,1.465,6.8927155,25
194,78,126,283.55,542.2,1.512,7.2418566,25
196,81,128,289.81,543.6,2.351,6.6970863,25
197,81,128,293.16,544.6,2.725,6.0785537,25
198,82,128,296.25,545.8,2.818,5.4509706,25
200,80,129,302.64,546.8,2.939,4.954898,25
201,80,129,305.77,547.4,3.023,4.6429405,25
