time,cadence,heartrate,distance,altitude,velocity_smooth,grade_smooth,temp
0,58,81,1.91,225.0,1.913,,32
1,58,81,4.04,225.0,2.127,,32
10,83,83,24.39,226.2,3.014,,32
13,84,86,33.44,226.8,3.06,,32
15,83,88,39.52,227.4,2.995,,32
18,83,91,48.6,228.0,3.079,,31
20,83,95,54.69,228.2,2.995,,31
21,83,98,57.67,228.6,2.986,,31
23,83,102,63.83,229.0,3.116,,31
31,83,103,85.3,229.4,2.827,,31
36,60,100,98.79,228.8,2.211,,31
40,61,97,107.79,228.0,2.267,,31
42,62,95,112.29,227.4,2.239,,31
47,60,92,122.81,226.6,2.034,,31
49,60,92,126.9,226.4,2.053,,31
58,61,90,143.13,225.4,1.428,,31
66,63,88,160.37,224.2,2.193,,31
68,63,86,164.75,223.8,2.193,,31
70,81,82,169.14,223.4,2.193,,31
71,81,81,171.28,223.2,2.146,,31
79,81,81,191.56,222.2,2.183,,31
80,81,82,193.74,222.2,2.183,,31
83,81,88,201.81,221.2,2.93,,31
84,81,90,204.75,220.8,2.939,,31
87,80,93,213.43,219.8,2.855,,31
88,80,93,216.35,219.6,2.921,,31
94,80,95,233.76,218.4,2.921,,31
98,80,98,244.19,217.6,2.557,,31
100,80,96,249.97,217.4,2.874,,31
106,80,99,265.65,216.6,2.631,,31
108,80,100,270.93,216.2,2.65,,31
111,80,102,279.25,214.8,2.837,,31
116,80,105,293.78,213.6,2.967,,30
119,80,106,302.57,212.4,2.939,,30
123,80,106,314.35,211.2,2.874,,30
126,80,106,323.25,210.0,2.911,,30
129,80,105,331.72,209.0,2.781,,30
132,82,105,340.36,207.8,2.948,,30
136,81,108,351.6,207.0,2.818,,30
137,80,106,354.42,206.6,2.818,,30
142,79,106,368.98,205.4,2.921,,30
145,79,108,377.84,204.4,2.958,,30
148,80,109,386.73,203.2,2.976,,30
151,80,107,395.52,202.0,2.921,,30
154,67,110,403.67,201.6,2.846,,30
156,67,112,409.01,201.0,2.491,,30
160,64,111,419.31,200.0,2.855,,30
163,62,111,427.12,198.8,2.127,,30
165,62,108,431.7,198.2,2.277,,30
167,62,109,436.21,197.6,2.258,,30
170,62,109,443.07,196.6,2.314,,30
175,63,108,443.07,196.4,2.314,0.48379514,30
178,63,105,443.07,195.4,2.323,0.30689302,30
179,62,106,443.07,195.0,2.314,-0.39058033,30
182,62,105,454.36,194.2,2.445,-0.7858194,30
185,62,102,464.26,193.6,2.389,-1.6642514,30
