time,cadence,heartrate,distance,altitude,velocity_smooth,grade_smooth,temp
0,60,93,0.19,282.4,1.353,0.0,28
1,60,89,0.45,282.4,0.0,0.0,28
2,92,89,0.53,282.2,0.0,0.0,28
6,82,88,10.14,282.0,0.0,0.0,28
8,82,91,17.29,282.0,1.558,0.35817516,28
13,81,94,33.77,282.0,2.594,0.7164628,28
19,82,99,47.33,282.2,2.65,1.7819571,28
21,82,102,51.47,282.2,2.641,2.556122,28
22,81,103,53.22,282.2,2.613,2.164157,28
23,81,106,55.47,282.2,2.585,2.141937,28
25,80,109,60.17,282.2,2.473,2.1442935,28
26,80,111,61.95,282.4,2.435,2.2381358,28
28,81,113,66.75,282.2,2.398,2.2342923,28
30,81,115,68.13,282.4,2.389,2.2428243,28
32,82,116,70.15,282.2,2.361,2.152551,28
35,81,117,74.5,282.4,2.193,2.2036004,27
36,81,117,77.59,282.4,2.137,2.2196245,27
37,81,117,81.03,282.4,2.081,2.1171775,27
40,81,117,87.01,282.4,1.885,2.166695,27
42,81,117,94.95,282.2,1.764,2.566607,27
47,80,116,116.55,281.8,2.417,2.4949217,27
49,80,116,120.26,281.6,2.361,1.6110625,27
52,79,116,127.89,281.4,2.538,1.4245692,27
53,79,116,129.93,281.2,2.538,0.9671739,27
54,80,116,132.3,281.0,2.538,0.13385859,27
55,80,116,134.48,281.0,2.37,-0.15023398,27
56,80,116,136.78,280.8,2.314,-0.88458264,27
58,80,117,141.35,280.6,2.165,-1.137781,27
59,80,117,144.27,280.4,2.155,-1.3712658,27
60,80,118,146.91,280.2,2.155,-1.5787023,27
62,80,119,153.75,279.2,2.193,-1.8128396,27
63,80,119,157.24,279.0,2.193,-2.4406614,27
68,78,118,172.62,278.0,2.305,-2.4687052,26
69,79,118,176.54,277.4,2.351,-3.3029509,26
70,80,118,181.64,277.0,2.398,-3.310308,26
73,81,118,196.81,276.0,2.501,-3.150408,26
75,81,118,207.14,274.6,2.585,-4.026648,26
77,82,118,216.84,273.4,2.865,-5.077043,26
78,82,118,221.44,273.4,3.004,-6.200355,26
83,84,120,245.76,273.0,3.555,-5.6975975,26
84,84,122,249.54,272.6,3.62,-6.495107,26
85,84,129,253.92,272.4,3.639,-6.081636,26
86,83,129,257.96,272.2,3.658,-5.727476,26
87,83,131,260.03,272.2,3.658,-5.3935795,26
89,83,134,267.2,271.6,3.704,-4.756612,26
92,83,136,275.83,271.2,3.676,-5.349682,26
94,83,138,281.65,271.0,3.648,-4.4735413,26
100,82,136,302.04,270.8,3.238,-3.98687,26
103,81,132,310.66,270.8,3.238,-3.756526,26
105,81,131,316.56,270.6,3.238,-3.7589393,26
106,80,131,319.56,270.2,3.228,-2.740347,26
112,80,131,337.43,270.2,3.051,-2.229432,26
119,81,133,358.53,270.2,2.921,-2.4448645,26
121,81,133,364.19,270.4,2.911,-2.2689896,26
128,81,132,386.47,270.8,2.93,-1.8142185,25
131,81,133,395.37,270.6,2.939,-1.9824505,25
139,81,132,415.38,270.6,2.948,-2.0388026,25
140,82,132,418.6,270.6,2.939,-2.2230456,25
147,80,134,440.27,271.0,2.939,-1.9007938,25
149,81,135,445.28,271.0,2.939,-1.7841198,25
155,81,137,461.32,271.2,2.921,-1.5766932,25
159,81,137,471.86,271.4,2.902,-1.4046994,25
167,82,138,494.05,271.6,2.865,-1.2109792,25
169,81,138,499.9,271.8,2.865,-1.1479537,25
175,81,137,516.27,271.8,2.865,-0.9357024,25
180,81,135,528.66,272.2,2.855,-0.723304,25
181,81,135,531.47,272.2,2.846,-0.41943327,25
188,81,135,550.37,272.2,2.809,-0.098312885,25
191,82,134,559.08,272.4,2.809,-0.00949118,25
195,81,133,570.03,272.4,2.79,0.06850614,25
200,81,137,581.15,272.6,2.771,0.14380033,25
204,82,138,591.35,272.6,2.734,0.053600844,25
212,81,138,613.4,272.8,2.566,-0.12024668,24
217,81,135,629.84,272.6,2.603,-0.11588148,24
220,81,136,639.36,272.6,2.678,-0.10190327,24
223,81,136,649.83,272.6,2.697,-0.038208727,24
230,81,137,671.16,272.6,2.781,-0.03330125,24
237,80,137,691.86,273.0,2.837,-0.1214668,24
242,81,139,707.03,273.2,2.874,-0.40824154,24
249,81,140,727.19,273.0,2.939,-0.64900285,24
250,81,140,730.13,273.0,2.93,-0.8823177,24
257,81,142,752.15,273.0,2.976,-0.7492825,24
259,81,142,758.45,273.0,2.986,-0.9144607,24
266,81,141,780.23,273.0,3.042,-0.9305843,24
274,82,141,802.66,272.8,3.042,-1.0669242,24
275,82,141,805.26,272.8,3.042,-0.9218017,24
283,81,141,826.93,272.8,2.976,-0.7667086,24
285,81,141,832.01,272.8,2.967,-0.72024095,24
294,79,140,854.37,272.0,2.893,-0.61588395,24
295,79,139,857.6,271.8,2.865,-0.53566086,24
300,80,139,871.24,271.4,2.771,-0.29721975,24
304,80,141,883.11,271.0,2.799,-0.23138012,24
305,80,141,886.3,270.8,2.809,-0.2448057,24
311,79,141,904.57,269.8,2.911,-0.22209355,24
318,80,140,926.58,269.2,2.986,-0.29277945,24
319,80,140,929.92,269.0,3.004,-0.8437868,24
322,80,139,939.58,268.8,3.042,-0.8649315,24
328,80,139,959.9,267.8,3.098,-1.3715711,23
329,80,139,963.12,267.6,3.107,-2.291268,23
334,79,142,980.55,266.6,3.144,-2.1303053,23
335,80,143,983.73,266.2,3.154,-2.6689258,23
337,81,145,990.56,265.8,3.182,-2.5581334,23
339,82,145,998.74,265.4,3.219,-2.5446942,23
340,82,145,1002.96,265.0,3.247,-2.8933272,23
343,83,142,1016.09,264.2,3.424,-2.7383323,23
346,84,139,1027.47,263.8,3.704,-2.612507,23
349,84,136,1040.97,263.2,3.91,-2.6002023,23
350,83,136,1045.5,263.0,3.994,-2.4582427,23
354,85,135,1061.21,262.0,3.928,-2.3436625,23
360,81,137,1078.04,262.0,3.574,-2.5031385,23
365,80,139,1091.94,261.8,3.172,-3.3239605,23
366,80,142,1094.32,261.6,3.144,-4.2396874,23
370,81,144,1104.33,261.0,2.948,-3.942131,23
371,81,144,1107.12,260.8,2.902,-4.456725,23
378,82,144,1124.11,260.4,2.743,-4.1562743,23
379,82,145,1126.28,260.4,2.734,-6.4958844,23
