time,heartrate,distance,altitude,velocity_smooth,grade_smooth,temp
0,81,0.0,462.8,1.894,8.292442,30
1,80,0.0,463.8,1.894,6.407807,30
2,79,0.0,464.0,4.133,6.581478,30
3,80,4.21,464.2,2.529,7.2488866,30
5,82,7.48,465.6,1.894,5.129873,30
8,83,9.68,466.2,3.247,3.4162004,30
10,84,15.07,466.8,3.303,0.3850935,30
11,86,18.64,467.0,3.714,-0.31801188,30
12,87,24.03,467.2,3.714,-0.67453045,30
13,89,30.5,467.4,3.882,-1.1156226,30
15,89,39.75,467.8,4.74,-2.126334,30
17,93,47.28,468.2,3.667,-2.3740735,30
18,94,50.56,468.0,2.295,-3.4544234,30
19,94,51.86,468.0,0.0,-3.6463792,30
21,96,55.31,467.8,1.092,-3.4094388,30
23,96,70.13,467.0,2.837,-2.4639854,30
25,95,79.19,466.8,2.295,-4.3220797,30
26,94,80.95,466.6,1.875,-6.6114745,30
27,94,81.48,467.0,1.596,-9.100131,30
29,95,85.47,467.0,1.213,-9.267303,30
31,96,103.16,466.8,1.596,-9.764267,30
34,98,112.36,465.6,2.65,-2.9791973,30
36,98,119.17,465.2,2.65,-2.8355653,30
40,98,127.94,464.4,0.0,-1.8763633,30
44,96,129.97,463.2,0.0,0.0,30
48,93,130.67,462.2,0.0,1.809588,30
49,93,130.67,462.2,0.0,1.842465,30
52,90,130.67,462.0,0.0,2.2109807,30
53,89,130.67,461.8,0.0,2.5794961,30
58,89,135.28,461.2,2.715,3.68493,30
61,89,149.91,461.6,5.421,3.8215518,30
66,89,185.11,463.2,6.727,2.0471513,30
67,90,192.87,463.2,7.278,5.412192,30
69,90,208.53,463.8,7.381,5.1363473,30
70,91,216.45,464.4,7.381,5.5522537,30
71,91,225.36,464.6,7.166,5.904114,30
75,92,258.72,466.8,7.409,2.037805,30
76,91,267.35,467.2,7.409,5.209821,30
78,91,284.41,467.6,7.409,4.187292,30
79,91,293.59,468.0,7.409,4.756936,30
82,92,316.55,469.4,7.353,4.1789775,29
85,94,338.91,470.2,7.269,3.5662582,29
86,94,345.98,470.6,7.147,3.6186502,29
90,92,372.48,471.6,7.138,2.5227273,29
91,91,379.66,472.2,7.138,1.3002487,29
93,91,394.15,472.6,7.138,0.7364582,29
94,91,401.78,472.6,7.138,0.5531284,29
98,94,434.27,473.0,7.427,0.0,29
102,98,466.58,473.0,7.782,-1.7703767,29
103,99,474.51,473.0,7.81,-2.7585125,29
105,99,490.64,472.6,7.931,-2.7158637,29
108,100,517.38,472.0,8.146,-1.9058809,29
109,101,526.17,471.6,8.183,-1.2871368,29
111,104,543.26,471.2,8.286,-0.7504784,29
112,108,551.71,471.0,8.286,-0.38516715,29
115,115,579.46,471.0,8.37,-1.7456336,29
116,118,587.24,470.8,8.323,-5.8273377,29
117,120,594.87,471.0,7.017,-7.2062964,29
119,123,608.7,470.8,7.017,-8.138609,29
121,124,622.72,470.0,7.222,-7.4276514,29
122,124,631.01,469.0,7.763,-6.3541484,29
123,124,639.99,467.8,8.23,-5.1773067,28
124,123,648.9,467.2,8.631,-6.2905626,28
126,121,668.24,466.4,9.816,-5.829236,28
128,118,688.93,465.6,9.919,-5.1187396,28
129,117,700.33,464.8,10.945,-6.786122,28
132,116,734.5,463.4,11.934,-4.7882295,28
133,116,747.69,462.2,11.934,-8.127571,28
135,115,771.55,460.8,11.365,-5.329421,28
136,114,783.02,460.0,11.104,-5.950373,28
137,113,793.78,458.2,11.104,-3.2694707,28
140,111,819.3,457.4,7.968,-2.3231804,28
141,112,825.47,457.0,6.615,-1.2559168,28
142,111,831.65,456.8,6.205,-1.0886893,28
143,111,838.2,456.6,6.615,-0.8939071,28
144,110,845.42,456.4,7.427,-0.6592633,28
146,110,860.31,456.2,7.959,-0.37405953,28
151,111,899.06,456.0,7.959,-1.8899705,28
152,112,907.41,456.0,7.987,-3.4174688,28
154,114,923.64,455.8,7.996,-3.1942377,28
157,117,945.24,454.8,7.157,-1.9793233,28
158,117,951.66,454.4,6.569,-2.2899196,28
162,118,970.29,454.2,4.236,-1.9612857,28
166,115,984.32,453.8,3.583,-1.156404,28
169,112,997.72,453.6,5.244,-1.0899332,28
