time,cadence,heartrate,distance,altitude,velocity_smooth,grade_smooth,temp
0,54,84,0.0,226.0,1.288,-2.922393,27
1,54,84,1.26,225.8,1.25,-2.922393,27
4,58,84,3.64,225.8,1.316,-2.9930882,27
7,0,82,8.11,225.4,1.54,-3.1568859,27
10,80,83,17.53,225.0,2.697,-3.678983,27
12,80,86,23.66,224.4,3.312,-4.806498,27
14,81,89,29.51,224.0,3.238,-4.8421564,27
16,81,92,35.19,223.6,3.079,-5.448158,27
17,77,94,37.16,223.2,2.939,-5.330629,27
18,77,95,39.66,223.0,2.865,-5.19744,27
21,78,97,44.61,222.6,2.473,-5.421687,27
22,78,98,46.23,222.6,2.333,-5.7348595,27
27,63,101,54.76,221.8,1.978,-5.4566045,27
29,62,101,57.88,221.4,1.903,-5.73362,27
32,62,98,62.11,220.8,1.81,-6.307122,27
35,64,95,66.41,220.4,1.745,-6.2984443,27
37,62,94,69.34,220.2,1.689,-6.3758383,27
43,62,93,78.77,219.4,1.652,-5.8522754,26
44,62,93,80.64,219.2,1.68,-6.258691,26
48,63,93,88.43,218.2,1.652,-6.001229,26
49,64,93,90.24,217.2,1.652,-7.5165725,26
51,65,93,93.95,216.0,1.661,-7.2253966,26
54,65,93,98.6,216.0,1.708,-6.703645,26
59,62,90,105.67,216.4,1.726,-6.7302823,26
60,62,93,107.29,216.2,1.726,-7.149934,26
62,62,97,110.51,216.0,1.708,-7.1453815,26
65,62,96,117.01,215.6,1.689,-6.6807437,26
69,84,94,126.86,214.8,1.847,-6.460964,26
72,85,95,134.51,214.0,2.071,-6.9280543,26
73,85,96,137.09,213.4,2.193,-7.7975025,26
74,85,93,139.97,213.0,2.277,-6.873125,26
78,42,94,150.21,212.0,2.37,-6.392464,26
80,42,94,155.97,211.2,2.361,-7.157974,26
81,84,94,158.82,210.4,2.37,-6.8741813,26
84,83,94,165.97,209.8,2.575,-6.49188,26
87,83,94,173.62,209.2,2.659,-7.697323,26
89,84,95,178.46,208.4,2.678,-8.815344,25
90,84,97,181.34,208.2,2.715,-9.3303175,25
91,84,100,184.48,208.0,2.743,-9.052574,25
94,83,100,193.28,207.2,2.669,-8.911985,25
96,83,103,198.48,207.0,2.631,-9.767496,25
98,83,104,201.99,206.6,2.585,-9.286572,25
102,83,106,210.44,206.0,2.351,-9.211605,25
104,83,106,213.88,205.8,2.323,-9.513013,25
105,64,108,216.01,205.6,2.314,-9.272162,25
107,64,106,219.31,204.8,2.118,-9.819404,25
110,66,106,224.6,203.8,1.885,-9.474178,25
112,64,107,228.51,203.2,1.838,-9.814902,25
115,63,104,234.79,202.8,1.736,-9.554047,25
117,63,102,239.27,202.8,1.717,-10.861332,25
120,62,100,245.7,202.4,1.782,-10.846976,25
125,62,95,255.68,201.6,1.894,-11.320985,25
130,62,96,263.87,200.6,1.866,-11.902318,25
131,62,95,265.44,200.4,1.857,-13.666271,25
134,62,92,270.29,199.8,1.801,-12.993863,25
136,62,90,274.2,199.4,1.773,-14.21478,25
139,63,87,280.21,199.0,1.745,-13.158684,25
141,62,86,284.27,198.6,1.745,-13.563411,25
142,62,86,285.98,198.4,1.745,-13.398552,25
145,63,83,291.12,197.8,1.764,-12.379401,25
147,64,82,294.14,197.2,1.773,-12.471344,25
151,64,80,300.48,196.2,1.773,-12.535626,25
155,65,81,308.21,195.0,1.782,-12.687588,25
156,65,81,310.1,194.8,1.791,-12.990016,25
158,64,81,313.35,194.0,1.791,-12.421265,25
161,65,81,318.15,193.2,1.801,-12.060387,25
162,65,81,320.14,193.0,1.801,-11.758431,25
163,65,81,322.14,192.6,1.801,-11.225833,25
167,65,79,330.34,191.6,1.81,-11.343028,25
170,65,78,335.25,190.6,1.81,-11.523984,25
174,64,78,341.06,189.6,1.819,-11.800313,25
175,64,78,342.76,189.4,1.81,-11.78202,25
178,68,80,348.61,188.4,1.81,-11.556776,25
182,66,82,354.58,187.4,1.791,-12.300973,25
183,66,82,356.11,187.0,1.782,-13.771377,25
188,66,82,365.42,185.4,1.764,-13.113705,25
192,66,82,371.85,184.6,1.736,-14.254034,25
193,65,82,373.71,184.4,1.736,-14.241989,25
197,64,81,381.54,183.0,1.736,-13.269422,25
199,66,80,385.84,181.8,1.745,-12.973942,25
203,64,79,392.66,181.4,1.745,-12.737387,25
205,63,79,395.77,180.8,1.745,-13.013374,25
207,63,76,399.28,180.6,1.745,-12.581802,25
208,62,79,401.45,180.2,1.745,-12.76087,25
210,62,78,405.36,179.6,1.736,-11.745306,25
212,64,78,409.88,179.2,1.736,-11.293095,25
215,64,77,416.28,178.4,1.745,-11.362526,25
219,64,75,423.47,177.2,1.773,-11.334657,25
223,63,75,430.51,176.0,1.773,-9.652125,25
228,64,76,440.91,174.8,1.773,-9.4145775,25
231,63,76,447.03,174.2,1.782,-9.950513,25
233,65,76,450.43,173.8,1.791,-10.213106,25
237,65,75,457.32,172.6,1.801,-9.896935,25
239,65,75,461.26,172.0,1.801,-11.799309,25
242,65,75,467.3,171.6,1.801,-10.984409,25
248,79,76,482.45,170.6,1.875,-10.962971,25
249,79,76,484.97,170.4,1.969,-12.923777,25
