time,cadence,heartrate,distance,altitude,velocity_smooth,grade_smooth,temp
0,59,83,0.0,237.8,0.0,-1.0361792,32
1,59,83,0.42,237.8,1.39,-1.0361792,32
4,59,84,9.57,238.0,2.417,-0.9548586,32
7,82,87,18.98,239.2,2.725,-0.8913808,32
9,82,92,25.23,239.4,2.743,-0.8712257,32
10,83,94,28.43,239.4,2.771,-0.84418094,32
12,83,97,33.68,240.0,2.781,-0.7421376,32
15,83,101,41.74,240.6,2.809,-0.80528617,32
17,82,101,47.69,241.0,2.818,-1.0572776,32
18,82,105,50.03,241.0,2.818,-1.2934657,32
21,83,108,56.71,241.0,2.762,-1.61968,31
23,83,111,61.13,241.0,2.734,-2.4429886,31
25,82,111,64.78,240.6,2.669,-2.8997633,31
28,81,114,70.99,240.4,2.538,-3.0635295,31
32,80,116,82.09,239.4,2.426,-3.2653096,31
34,80,116,86.93,239.2,2.333,-4.4778843,31
37,80,116,94.57,238.6,2.277,-4.0580235,31
39,40,116,100.01,238.4,2.277,-4.353597,31
40,40,116,102.21,238.0,2.277,-4.6154723,31
42,80,117,106.31,237.4,2.267,-4.44035,31
43,80,117,108.59,237.2,2.267,-4.2637544,31
44,40,115,111.1,236.8,2.286,-4.041171,31
47,40,118,119.31,235.8,2.127,-3.694422,31
50,80,122,127.32,234.2,2.323,-3.8279579,31
51,80,120,129.73,233.6,2.407,-4.2700562,31
52,80,120,132.33,233.4,2.454,-4.2151666,31
57,80,119,146.62,232.2,2.594,-3.9187953,31
59,80,120,152.24,232.0,2.622,-5.736488,31
62,80,120,160.47,231.0,2.641,-5.9157887,31
66,80,120,171.76,229.8,2.678,-6.244346,31
68,80,122,177.69,229.4,2.706,-6.6073174,31
70,80,119,183.18,229.2,2.725,-7.088478,31
71,80,119,186.2,229.0,2.753,-6.9610443,31
72,80,119,189.09,228.6,2.762,-6.608428,31
75,80,118,197.64,227.6,2.818,-6.183049,31
76,80,118,200.69,227.2,2.827,-6.1220636,31
80,80,117,212.25,226.2,2.874,-5.6516447,31
84,79,119,222.08,225.2,3.042,-6.5715556,31
85,79,119,224.25,224.8,3.051,-6.74068,31
88,79,120,231.11,223.8,2.939,-6.742539,31
91,79,119,238.35,222.4,2.865,-7.527739,30
94,79,118,244.6,220.8,2.855,-7.4146276,30
98,79,121,254.19,219.4,2.734,-8.176927,30
101,79,121,261.62,218.4,2.659,-8.601393,30
102,79,123,264.12,218.2,2.631,-9.00578,30
105,78,120,272.25,217.4,2.575,-8.675989,30
106,78,120,275.05,217.2,2.566,-9.940333,30
108,78,119,281.19,216.2,2.547,-9.646935,30
109,79,120,284.58,215.6,2.547,-9.335625,30
112,79,121,294.71,214.4,2.603,-8.877309,30
113,80,121,298.06,214.0,2.622,-11.195032,30
115,79,122,304.32,213.4,2.669,-10.41869,30
118,79,121,313.75,212.2,2.743,-10.752045,30
120,78,124,319.76,211.6,2.753,-13.5086775,30
121,78,124,322.63,211.0,2.771,-14.798229,30
123,78,125,328.5,209.8,2.771,-14.6221895,30
126,79,126,337.19,208.8,2.762,-15.288327,30
128,79,126,342.52,207.6,2.743,-16.46968,30
129,79,127,344.86,206.8,2.734,-17.791317,30
130,79,129,346.81,206.4,2.734,-17.671572,30
134,78,128,354.05,205.2,2.491,-17.357439,30
137,120,128,358.72,204.0,2.547,-17.936855,30
140,120,128,362.81,202.6,2.669,-17.692917,30
141,120,129,363.64,202.2,2.734,-17.519777,30
143,62,127,365.57,201.2,2.762,-16.739408,30
145,63,128,367.68,200.0,1.633,-16.253609,30
147,63,126,370.5,198.8,1.633,-14.581313,30
149,63,127,373.28,197.8,1.624,-14.355643,30
151,62,123,375.95,196.6,1.53,-14.263772,30
153,123,123,379.97,195.4,1.502,-13.90629,30
155,123,122,384.32,194.2,1.698,-14.445607,30
157,62,119,387.84,193.2,1.624,-15.403923,30
159,62,118,390.71,191.8,1.558,-15.015942,30
160,62,115,391.9,191.4,1.474,-14.77522,30
161,62,115,393.11,190.8,1.484,-14.252405,30
163,62,113,395.11,189.8,1.502,-14.22637,30
165,62,111,397.0,188.6,1.4,-13.545213,30
167,62,111,400.94,187.6,1.362,-13.27328,30
169,62,108,404.37,186.8,1.362,-12.959388,30
170,62,107,405.73,186.2,1.344,-12.950707,30
173,62,106,410.9,185.0,1.316,-11.954704,30
176,62,105,415.09,183.6,1.316,-13.010885,30
179,62,103,422.26,182.4,1.334,-13.184222,30
180,62,103,425.19,181.8,1.344,-13.985285,30
181,63,101,426.86,181.4,1.362,-14.398544,30
184,123,100,429.94,180.0,1.521,-14.279659,30
185,63,97,430.84,179.6,1.624,-14.950445,30
187,63,96,433.59,178.6,1.586,-13.674177,30
190,63,94,438.26,177.4,1.428,-13.550472,30
192,63,93,441.81,176.4,1.353,-14.441441,30
193,62,94,443.37,176.0,1.316,-15.749555,30
196,62,91,448.47,174.8,1.26,-15.21898,30
199,62,94,454.12,173.4,1.306,-15.552011,30
202,62,93,459.71,172.2,1.39,-15.635884,30
203,62,92,461.61,171.8,1.4,-15.483886,30
205,63,91,464.93,171.0,1.428,-15.024025,30
208,63,91,469.7,170.0,1.549,-14.9219885,30
211,62,91,474.41,168.8,1.652,-14.562686,30
213,62,89,476.52,167.6,1.614,-15.349004,30
215,62,89,479.29,166.8,1.549,-13.960671,30
216,63,89,480.84,166.4,1.53,-13.681416,30
220,62,89,487.16,165.0,1.484,-13.010635,30
221,62,85,488.88,164.8,1.446,-12.872915,30
222,62,88,490.69,164.4,1.446,-12.273045,30
223,61,88,492.32,164.0,1.456,-11.666152,30
225,61,89,496.17,163.0,1.456,-9.893489,30
226,61,88,498.02,162.8,1.446,-9.64516,30
229,63,88,503.38,161.6,1.465,-9.068302,30
232,62,89,508.82,160.6,1.512,-7.79774,30
235,62,91,515.2,159.6,1.577,-7.589114,30
238,63,94,520.74,158.4,1.708,-7.5202594,30
239,63,97,522.36,158.2,1.717,-7.1395764,30
241,62,98,525.63,157.4,1.736,-6.470661,30
245,62,98,532.13,156.0,1.764,-6.554004,30
247,62,100,535.31,155.4,1.764,-6.635453,30
250,62,97,541.81,155.0,1.773,-6.039673,30
254,78,96,552.24,155.0,2.025,-5.8892555,30
259,79,100,566.47,155.0,2.473,-5.9714665,30
262,79,105,574.96,154.4,2.631,-7.052425,30
263,79,106,577.93,154.4,2.687,-5.6957784,30
265,79,107,584.2,154.2,2.762,-5.1094337,30
268,79,110,593.94,154.0,2.846,-4.7821956,30
271,79,113,603.59,153.6,2.948,-4.2603097,30
272,79,114,606.79,153.4,2.967,-4.254197,30
275,79,115,616.95,153.2,2.976,-3.5646174,30
281,80,117,637.75,152.8,3.154,-3.3806498,30
286,82,120,653.36,153.0,3.238,-5.341606,30
289,80,121,662.36,152.6,3.2,-4.901117,30
292,80,124,673.93,152.4,3.275,-4.859344,30
293,82,124,677.45,152.4,3.284,-5.0967097,30
294,82,125,680.53,152.4,3.284,-4.8978934,30
298,80,127,689.04,152.8,2.389,-4.285011,30
302,80,127,695.86,153.0,2.193,-3.720728,30
304,81,127,702.3,153.4,2.538,-3.4392753,29
311,81,129,724.79,154.0,2.603,-3.1454535,29
312,81,128,728.76,154.2,2.669,-2.6762576,29
314,81,129,736.09,154.4,2.706,-2.2828665,29
318,82,132,749.57,155.0,2.809,-1.994122,29
319,82,131,752.28,155.2,2.837,-1.7262312,29
322,82,132,760.52,155.4,2.855,-1.4070051,29
327,82,133,774.64,155.8,2.893,-1.2843326,29
333,82,136,790.56,156.2,2.911,-1.0474325,29
334,81,137,793.13,156.4,2.902,-1.0450817,29
335,81,137,795.58,156.6,2.893,-0.7899384,29
342,81,138,814.6,157.0,2.781,-0.61427504,29
349,82,140,833.16,157.4,2.79,-0.4348512,29
352,81,140,838.98,157.6,2.781,-0.17332728,29
356,81,140,844.12,157.8,2.417,-0.03126638,29
361,57,137,849.76,157.8,1.68,-0.029652717,29
364,58,137,853.65,157.4,1.362,-0.028138688,29
368,58,134,860.13,157.0,1.344,-0.025872108,29
371,57,131,865.26,156.8,1.428,-0.11731892,29
372,57,133,866.92,156.6,1.465,-0.18538727,29
374,57,132,870.0,156.4,1.53,-0.22687663,29
379,78,130,881.16,156.2,1.829,-0.2760894,29
383,80,129,891.9,157.8,2.473,-0.30777642,29
385,81,128,897.37,158.8,2.631,-0.18787669,29
387,81,129,902.97,160.6,2.715,-0.14840636,29
389,81,130,908.58,161.8,2.771,0.046880644,29
391,81,134,914.2,163.0,2.818,0.10583679,29
395,82,134,924.69,164.4,2.865,0.27096218,29
396,82,135,926.9,164.6,2.865,0.61121404,29
399,81,136,935.06,165.4,2.855,0.7258994,29
404,81,138,949.21,166.2,2.865,0.8288753,29
408,81,141,959.9,166.2,2.902,1.0509291,29
412,81,145,970.23,166.0,2.893,1.0665139,29
413,82,142,972.67,166.0,2.883,1.1415316,29
414,82,145,975.3,166.0,2.874,1.0611099,29
416,81,145,981.22,166.4,2.846,1.1636146,29
418,81,143,986.2,166.6,2.846,1.1757867,29
424,80,142,1001.7,166.8,2.818,1.1780927,29
432,81,141,1023.06,166.8,2.781,1.2559668,29
438,80,142,1040.58,167.2,2.79,1.8645867,29
446,81,142,1062.3,166.8,2.781,1.7303253,29
448,81,142,1067.93,166.8,2.79,2.1685643,29
454,80,142,1085.51,167.2,2.799,1.8722435,29
462,80,139,1107.33,166.8,2.809,1.8773502,29
464,79,140,1112.85,166.6,2.809,2.093786,29
467,79,137,1121.3,166.4,2.809,1.5694916,29
470,80,140,1129.4,166.2,2.818,1.4398545,29
475,80,141,1143.12,165.8,2.818,1.3336016,29
477,81,141,1148.34,165.4,2.818,0.95439285,29
482,81,144,1162.05,165.2,2.818,0.7393987,29
488,81,144,1178.95,164.4,2.809,0.4672906,29
490,80,144,1184.92,164.2,2.809,0.4704248,29
498,79,142,1206.07,164.4,2.79,0.38002723,29
506,80,144,1227.28,164.4,2.781,0.48515707,29
507,80,147,1229.86,164.4,2.771,0.54284304,29
508,80,144,1232.58,164.4,2.771,0.49442425,29
516,80,144,1254.97,164.4,2.753,0.44805136,29
521,79,143,1268.44,164.8,2.753,0.4451612,29
528,80,141,1289.33,164.8,2.762,0.40278733,29
533,80,141,1303.26,164.4,2.771,0.38424256,29
541,80,140,1325.39,163.6,2.781,0.33971927,29
542,80,140,1328.82,163.6,2.79,-0.003495195,29
544,79,140,1334.36,163.2,2.79,-0.1271591,29
551,80,140,1353.94,162.2,2.818,-0.098986894,29
552,80,141,1356.53,161.8,2.818,-0.112643704,29
558,80,140,1372.76,161.2,2.818,-0.05129481,29
562,80,140,1384.36,161.0,2.818,0.4628747,29
568,80,143,1402.39,160.4,2.837,0.6093769,29
571,79,146,1410.51,160.4,2.837,0.8710656,29
572,80,146,1412.98,160.4,2.837,0.9757358,29
576,80,149,1424.01,160.4,2.837,0.86830497,29
581,79,151,1437.93,160.4,2.827,0.8329143,29
584,80,152,1445.45,160.0,2.827,0.7636604,29
589,81,152,1460.79,159.8,2.818,0.68080306,29
595,80,153,1477.78,159.8,2.827,0.71808755,29
603,80,152,1500.25,160.2,2.827,0.64857274,29
609,79,153,1517.29,160.6,2.818,0.8016268,29
616,79,154,1537.62,161.0,2.799,0.7726321,29
617,79,154,1540.35,161.0,2.799,0.79240084,29
624,80,155,1559.85,161.2,2.799,0.64752585,29
632,79,154,1582.31,161.4,2.809,0.8430727,29
640,80,153,1604.02,161.8,2.818,1.0537655,29
643,80,156,1612.14,161.6,2.818,0.90861154,29
646,80,157,1619.87,161.6,2.818,0.6201074,29
650,79,154,1630.53,161.4,2.809,0.47487897,29
652,80,152,1636.18,161.2,2.809,0.37619302,29
660,79,150,1657.96,161.0,2.809,0.29892007,29
668,80,151,1679.07,161.0,2.799,0.2955773,29
676,79,152,1701.58,160.6,2.79,0.33267847,29
683,80,153,1721.09,160.4,2.79,0.44501904,29
685,79,154,1726.59,160.4,2.79,0.49659202,29
693,79,155,1748.17,160.8,2.79,0.5874154,29
694,79,155,1751.58,160.8,2.79,0.73638755,29
702,80,155,1772.83,160.8,2.799,0.68668306,29
703,79,155,1776.56,160.8,2.799,0.6440265,29
711,80,157,1797.09,161.0,2.79,0.60258085,29
714,79,157,1804.69,160.8,2.79,0.6369468,29
722,80,156,1826.42,160.6,2.771,0.5687216,29
724,79,156,1831.06,160.4,2.771,1.0747937,29
725,79,155,1833.91,160.6,2.762,1.0274796,29
733,81,157,1856.67,160.0,2.762,0.9458663,29
735,81,158,1862.02,160.0,2.762,1.3929374,29
736,80,159,1864.83,160.0,2.762,1.4276475,29
744,80,158,1886.31,159.8,2.771,1.2087644,29
745,80,158,1889.05,159.8,2.762,1.2400345,29
753,80,160,1911.02,159.6,2.762,1.0279889,29
756,80,160,1919.45,159.6,2.762,1.0004523,29
764,80,160,1940.72,159.4,2.753,0.7857049,29
772,80,160,1961.63,159.8,2.743,1.1698009,29
779,80,158,1980.57,160.2,2.743,1.2924494,29
780,80,158,1983.31,160.2,2.743,1.6983641,29
786,81,161,2000.06,160.6,2.734,1.4284686,29
792,80,161,2016.31,161.0,2.743,1.3492874,29
793,79,161,2019.01,161.0,2.743,1.4484913,29
800,80,164,2038.16,162.4,2.743,1.1034291,29
802,80,165,2043.55,162.6,2.743,0.7281495,29
810,81,165,2065.46,162.8,2.743,0.5100298,29
812,81,165,2070.82,162.8,2.743,0.3929712,29
820,80,163,2092.25,162.8,2.734,0.35712644,29
822,80,163,2097.29,163.0,2.734,0.75911516,29
830,81,164,2118.84,163.0,2.725,0.87586904,29
838,80,162,2140.66,163.4,2.715,1.0483391,29
839,79,162,2143.24,163.4,2.706,1.4794391,29
846,79,163,2162.17,163.2,2.697,1.2900677,29
854,80,164,2184.72,163.0,2.706,1.5448844,29
856,80,164,2189.81,162.8,2.706,2.172433,29
864,81,164,2211.03,163.6,2.706,1.9467441,29
867,82,164,2219.44,164.0,2.706,1.6940925,29
868,81,163,2221.8,164.0,2.706,1.0864117,29
869,80,162,2224.7,164.0,2.706,0.81620145,29
871,80,160,2231.31,164.0,2.706,0.5489198,29
876,79,160,2247.1,164.0,2.725,0.37702578,29
883,80,160,2266.81,163.8,2.734,0.030499967,29
890,79,160,2287.71,163.4,2.743,-0.16047986,29
891,79,160,2290.85,163.4,2.743,-0.37973112,29
898,80,160,2310.88,163.0,2.743,-0.33546883,30
900,80,161,2317.44,163.0,2.743,-0.08719822,30
901,79,161,2321.01,163.0,2.753,-0.044590928,30
908,79,161,2341.26,162.6,2.846,0.0951495,30
911,79,162,2349.78,162.4,2.893,0.28113762,30
913,79,162,2354.95,162.4,2.893,0.45250076,30
920,79,162,2376.79,162.4,2.893,0.44235963,30
926,79,161,2394.82,162.4,2.93,0.49406627,30
929,79,161,2403.57,162.6,2.939,0.4835664,30
934,79,159,2418.53,163.6,2.958,0.37551826,30
935,79,162,2420.58,163.8,2.958,0.19011293,30
937,79,162,2426.59,164.6,2.948,0.07591149,30
943,79,161,2443.69,165.6,2.921,-0.025558183,30
945,79,162,2449.32,166.4,2.911,-0.11211232,30
948,79,162,2457.1,166.6,2.893,-0.15970305,30
950,80,163,2462.62,167.4,2.893,-0.18993974,30
951,80,163,2465.43,167.6,2.883,-0.21965827,30
953,80,162,2471.13,168.0,2.883,-0.3033892,30
956,80,161,2479.78,168.6,2.874,-0.2844297,30
958,80,159,2485.68,168.8,2.874,-0.35858166,30
961,80,157,2494.45,168.8,2.874,-0.393731,30
968,79,158,2514.56,169.6,2.865,-0.3759312,30
969,79,158,2517.48,169.8,2.865,-0.9334824,30
971,78,159,2523.71,170.0,2.865,-0.9108088,30
974,79,160,2533.31,170.2,2.865,-1.0086293,30
978,79,163,2544.63,170.6,2.874,-1.1950539,30
980,79,162,2550.55,170.6,2.874,-1.3601534,30
983,79,161,2558.43,170.8,2.874,-1.3598365,30
985,79,158,2563.19,171.2,2.874,-1.4557325,30
987,79,157,2568.13,171.2,2.865,-1.4497244,30
992,80,157,2582.24,171.2,2.837,-1.1677083,30
996,79,160,2592.86,171.2,2.818,-1.2560749,30
1001,80,159,2605.54,171.0,2.799,-1.2370229,30
1004,80,156,2614.09,170.8,2.781,-1.0122863,30
1010,79,157,2632.25,170.0,2.771,-0.9118648,30
1012,79,159,2638.87,169.8,2.781,-0.83093226,30
1015,79,161,2647.47,169.6,2.781,-0.6859329,30
1022,79,162,2668.95,169.6,2.809,-0.5047712,30
1029,80,163,2689.33,169.6,2.818,-0.60140604,30
1037,80,163,2712.56,170.0,2.837,-0.5684493,29
1038,80,163,2715.3,170.0,2.837,-0.72908705,29
1046,79,160,2736.21,170.0,2.837,-0.62807786,29
1054,79,158,2757.1,170.2,2.799,-0.64282167,29
1056,79,158,2762.49,170.0,2.79,-0.5907374,29
1059,79,158,2770.39,169.8,2.781,-0.4685883,29
1065,79,159,2787.67,169.4,2.771,-0.27759752,29
1072,80,162,2809.48,169.2,2.79,-0.23701918,29
1074,80,162,2815.04,169.2,2.79,-0.2871738,29
1082,79,163,2836.53,168.8,2.799,-0.28141513,29
1083,79,162,2839.95,168.6,2.799,-0.62658435,29
1089,80,161,2857.35,168.0,2.809,-0.6338034,29
1094,79,159,2873.0,167.6,2.818,-0.72573394,29
1098,79,158,2883.76,167.0,2.837,-0.9803164,29
1105,80,158,2901.95,166.6,2.818,-1.0269716,29
1112,80,158,2922.61,167.0,2.809,-1.0224407,29
1114,79,158,2928.79,167.2,2.818,-1.3133588,29
1120,79,158,2944.07,167.2,2.818,-1.2229819,29
1128,80,158,2964.54,167.0,2.799,-1.5863031,29
1129,80,158,2966.89,167.0,2.799,-1.7728938,29
1137,80,159,2988.22,166.8,2.762,-1.5832325,29
1139,80,160,2993.23,167.0,2.762,-2.343739,29
1142,79,160,3002.58,167.2,2.762,-2.1994765,29
1145,80,159,3012.3,167.2,2.771,-1.9352235,29
1152,80,159,3031.98,167.4,2.79,-1.8767794,29
1154,80,162,3036.67,167.4,2.79,-3.4165356,29
1157,79,163,3044.59,167.4,2.79,-2.582245,28
1164,80,164,3065.6,167.2,2.79,-2.4230473,28
1165,80,164,3068.67,166.8,2.79,-2.238548,28
1166,80,164,3071.64,166.6,2.79,-1.8686806,28
1168,80,164,3077.61,166.6,2.799,-1.4795516,28
1170,79,165,3083.49,166.4,2.809,-0.8953272,28
1177,80,162,3103.4,165.6,2.818,-0.6520426,28
1178,80,161,3105.44,165.4,2.818,-0.2637878,28
1184,81,160,3121.76,164.4,2.827,-0.17662196,28
1185,81,160,3125.25,164.0,2.827,-0.15790169,28
1188,81,161,3134.34,163.2,2.827,-0.08082059,28
1192,80,161,3145.04,162.4,2.837,-0.09519059,28
1195,80,161,3153.29,162.2,2.846,-0.16631879,28
1200,79,160,3166.48,162.2,2.846,-0.19357379,28
1207,79,159,3186.63,162.6,2.827,-0.26527697,28
1213,79,160,3203.73,162.8,2.827,-0.1678961,28
1219,79,160,3220.6,163.0,2.827,-0.05861369,28
1225,80,161,3237.99,163.2,2.827,0.035884082,28
1231,79,162,3256.44,163.0,2.837,0.22625208,28
1238,80,160,3277.0,162.2,2.846,0.36521593,28
1239,80,159,3279.83,162.0,2.855,0.49991632,28
1241,80,160,3285.61,161.2,2.855,0.5132157,28
1244,80,163,3294.15,160.4,2.855,0.46578822,28
1248,79,164,3305.58,160.0,2.865,0.56558096,28
1252,80,164,3316.61,159.8,2.865,0.5935275,28
1260,80,164,3339.03,159.0,2.855,0.5888927,28
1261,80,164,3342.14,158.8,2.855,-0.04671161,28
1267,79,164,3359.75,157.6,2.865,-0.21376354,29
1270,79,164,3368.37,157.0,2.874,-0.62079126,29
1273,80,164,3377.33,156.4,2.874,-1.034409,29
1280,80,165,3397.31,155.4,2.893,-1.1962358,29
1287,79,163,3417.78,154.8,2.902,-2.3004167,29
1288,79,163,3420.7,154.6,2.902,-2.3683321,29
1291,79,160,3428.83,154.6,2.902,-2.2260358,29
1292,80,161,3431.2,154.2,2.902,-2.68398,29
1293,80,161,3434.18,154.2,2.902,-2.1160457,29
1296,80,161,3442.96,154.2,2.902,-1.8722546,29
1300,80,163,3454.64,154.2,2.902,-1.7920477,29
1308,79,165,3477.5,153.8,2.893,-1.8362004,29
1309,79,165,3480.63,153.8,2.893,-1.9304215,29
