time,cadence,heartrate,distance,altitude,velocity_smooth,grade_smooth,temp
0,56,85,0.0,505.6,1.568,1.9449261,29
3,55,86,3.47,505.8,1.166,1.9449261,29
6,56,87,7.32,506.0,1.493,2.256887,29
11,57,90,13.9,506.6,1.306,2.1620703,29
12,57,91,15.18,506.8,1.222,2.4362104,29
14,57,94,18.55,507.2,1.185,2.4976103,29
17,57,97,24.87,507.8,1.26,2.631931,29
18,58,98,26.07,508.0,1.288,2.8886547,29
20,57,101,29.78,508.4,1.306,2.8656585,29
21,57,102,31.73,508.8,1.316,3.1490643,29
23,56,105,34.54,509.0,1.353,2.9384084,29
25,57,109,36.82,509.6,1.362,2.9287667,29
28,55,111,39.56,510.2,1.381,2.7521021,29
32,58,109,44.26,511.0,1.306,2.666277,29
33,58,107,46.1,511.2,1.306,2.8989289,29
35,55,107,48.94,511.6,1.316,2.755892,29
38,54,110,51.2,512.0,1.204,2.6934173,29
40,54,110,52.31,512.2,1.157,2.6207736,29
43,58,111,55.08,512.2,1.138,2.512495,29
50,60,113,65.39,512.4,1.176,2.4931679,29
53,60,116,69.14,513.0,1.185,3.1454663,29
55,57,116,72.84,513.4,1.204,3.2230723,29
58,56,117,78.21,514.4,1.232,3.328675,29
59,55,117,79.49,514.6,1.25,3.4245274,29
63,54,116,85.59,515.8,1.306,3.2804673,29
68,53,114,92.19,516.8,1.325,3.454668,29
69,53,114,93.66,517.2,1.316,3.9104269,29
73,53,116,98.91,518.0,1.297,3.7151875,29
77,55,117,105.73,519.0,1.306,4.012854,29
81,54,120,110.76,520.0,1.306,4.880456,29
82,54,119,112.31,520.2,1.306,5.0885396,29
87,54,120,120.0,521.2,1.334,4.9028788,29
88,54,119,121.51,521.2,1.344,6.4927993,29
94,53,120,131.12,522.4,1.381,6.0296426,29
99,55,120,139.44,523.6,1.418,6.8208847,29
106,53,120,145.15,524.6,1.418,7.009891,29
110,55,118,150.58,525.6,1.409,7.1408777,29
112,55,118,153.88,526.2,1.409,8.023996,29
114,55,117,157.56,526.6,1.409,7.379197,29
118,56,120,163.69,527.6,1.418,7.257222,29
119,56,118,164.83,527.8,1.428,7.402567,29
120,57,118,165.97,528.0,1.428,6.8999896,29
124,56,119,171.2,529.0,1.446,6.466378,29
129,56,118,179.78,530.2,1.456,7.0398073,29
132,56,119,184.81,530.6,1.456,7.1060424,29
135,56,119,188.9,531.2,1.474,6.5391665,29
142,55,120,200.34,532.2,1.502,6.1942983,29
143,55,120,201.75,532.2,1.502,7.7021623,29
150,55,121,211.41,533.4,1.512,7.588098,29
154,56,120,218.31,534.2,1.502,7.232571,29
156,56,119,221.68,534.6,1.502,7.2999654,29
163,55,117,231.54,535.6,1.521,6.7698126,29
170,55,120,243.29,536.4,1.54,5.6918435,29
172,54,119,246.01,536.4,1.54,5.909947,29
176,56,116,251.33,536.2,1.549,5.2732863,29
178,56,115,254.3,536.0,1.549,5.0756693,29
181,56,115,261.25,535.2,1.54,4.371769,29
185,81,113,273.47,534.6,2.398,3.3244545,29
187,79,113,279.03,534.4,3.023,3.134055,29
194,80,113,299.93,534.4,2.837,2.4731538,28
196,80,113,305.7,534.2,2.762,2.9667878,28
203,80,113,325.89,533.8,2.753,2.2035038,28
204,80,113,328.93,533.8,2.753,2.3937602,28
211,82,113,349.44,533.6,2.902,1.831349,28
212,81,113,352.24,533.6,2.883,2.073639,28
218,81,116,367.99,533.8,3.023,1.7751187,28
221,81,116,376.07,533.8,3.023,1.844049,28
225,81,119,387.94,533.8,3.004,1.7538893,28
226,81,120,391.21,533.8,2.995,1.9845473,28
230,81,123,404.76,533.8,2.948,1.7715042,28
232,81,124,411.69,533.8,2.93,2.0650415,28
239,81,126,429.55,533.8,2.902,1.9457535,28
240,81,126,432.05,533.8,2.893,2.0333881,28
245,81,129,445.1,534.0,2.855,1.7764546,28
246,80,128,447.52,534.2,2.837,1.6785021,28
253,81,128,465.87,534.2,2.799,1.385945,28
260,81,130,486.09,533.6,2.781,2.3379755,28
268,80,128,508.21,532.8,2.79,2.7789226,28
269,80,131,510.8,532.6,2.79,2.2814693,28
271,79,131,515.84,532.4,2.79,1.9315115,27
274,80,131,523.19,532.0,2.781,1.650937,27
277,80,132,529.59,531.8,2.771,1.1768849,27
279,80,132,534.72,531.4,2.753,0.98339415,27
281,79,131,540.32,531.0,2.743,0.6877841,27
287,79,129,554.27,530.4,2.715,0.5527796,27
288,79,129,556.61,530.2,2.706,0.38622025,27
293,80,129,571.07,529.8,2.678,0.31356567,27
297,82,130,584.42,529.2,2.687,0.45590582,27
300,81,130,594.62,529.0,2.706,0.48156178,27
305,82,129,613.62,528.0,2.827,0.7390858,27
306,82,127,617.44,527.8,2.837,0.908852,27
312,82,128,637.56,527.2,2.902,0.8206858,27
313,82,128,640.81,526.8,2.911,1.0517452,27
314,82,128,644.19,526.4,2.911,0.9934723,27
317,82,131,654.01,525.8,2.995,0.7840291,27
320,81,132,663.12,525.4,3.079,0.39049453,27
325,81,131,678.49,524.8,3.079,0.2433924,27
326,82,132,681.89,524.6,3.07,-0.19513638,27
328,83,132,688.2,524.4,3.051,-0.32704973,27
354,0,130,688.2,521.2,0.0,-0.6360643,27
355,0,131,688.2,521.0,0.0,-0.78315884,27
359,82,131,695.49,520.2,1.512,-0.8813428,27
365,84,127,716.67,521.0,2.286,-1.0005181,27
368,82,124,724.2,521.8,2.118,-1.0132157,27
371,83,125,729.5,522.0,2.295,-0.91547966,27
377,83,126,740.95,521.6,2.37,-0.648017,27
381,82,129,749.29,521.8,2.211,-0.28539255,27
383,82,129,755.2,521.8,2.165,-0.0016806199,27
389,81,131,773.88,522.2,1.987,0.111005224,27
391,81,131,779.14,522.8,1.978,0.27056286,27
395,82,132,787.1,523.4,2.118,0.32034975,27
398,82,132,795.43,523.4,2.277,0.206213,27
407,81,133,817.06,524.0,2.305,0.07359609,26
413,81,133,833.94,524.0,2.202,-0.060899742,26
417,81,133,844.93,524.4,2.109,0.13504717,26
421,82,133,857.25,524.6,2.155,0.20008579,26
427,81,136,874.3,524.8,2.174,0.51519305,26
429,81,137,879.95,524.8,2.165,1.3058403,26
