time,cadence,heartrate,distance,altitude,velocity_smooth,grade_smooth,temp
0,59,76,0.0,39.8,1.549,0.5733121,27
4,62,73,5.98,39.8,1.521,0.5733121,27
9,61,70,13.6,39.6,1.512,0.6413578,27
12,60,69,18.08,39.8,1.512,1.1408387,27
15,59,68,23.11,39.8,1.549,1.1473528,27
18,79,68,30.27,39.8,1.633,1.3209999,27
21,81,65,39.63,40.0,2.51,1.583535,27
26,82,69,55.61,40.2,2.622,2.0343008,27
28,82,73,61.86,40.2,2.659,2.632518,27
30,82,76,68.21,40.2,2.697,3.0002244,27
33,82,80,75.83,40.2,2.743,2.599926,27
35,81,83,81.57,40.0,2.743,2.6587915,27
37,81,86,88.03,40.0,2.743,2.2202477,27
39,81,89,94.35,40.0,2.762,2.1134274,27
43,80,94,105.48,40.0,2.79,2.0076067,27
44,80,98,108.08,40.0,2.799,1.8808013,27
45,81,101,111.54,40.0,2.809,1.6827495,27
46,81,104,114.17,40.0,2.827,1.4935253,27
50,82,106,127.54,40.0,2.883,1.280378,27
56,83,109,144.91,40.0,2.921,1.5205159,27
59,83,112,154.93,40.2,2.939,1.4944927,27
63,82,115,168.19,40.2,2.958,1.2398032,27
65,82,116,172.58,40.0,2.958,1.0481429,27
68,83,115,177.09,40.0,2.426,0.9147808,27
70,0,115,181.02,40.0,2.062,0.70328116,27
76,61,114,190.78,40.2,1.661,0.55518204,27
80,60,111,195.83,40.2,1.689,0.5862652,27
87,60,109,205.09,40.2,1.68,0.61757016,27
93,59,105,213.18,40.2,1.54,0.47024083,27
96,58,101,217.12,40.2,1.502,0.4654538,26
100,58,98,222.36,40.2,1.446,0.4261236,26
107,58,95,232.39,40.2,1.39,0.24415877,26
108,58,95,233.87,40.2,1.381,0.22558096,26
114,57,92,242.38,40.2,1.362,0.1705117,26
115,57,91,242.95,40.4,1.362,0.17116754,26
117,57,90,244.66,40.4,1.353,0.114107706,26
123,58,87,251.19,40.4,1.306,0.08610088,26
126,59,87,254.65,40.4,1.288,0.04907763,26
136,59,84,269.11,40.4,1.325,0.004613855,26
148,57,82,287.98,40.4,1.409,0.101779975,26
151,59,82,293.55,40.4,1.428,0.6716179,26
157,81,84,308.55,40.4,2.006,0.7244382,26
161,81,87,320.58,40.2,2.538,0.81721294,26
163,81,91,326.19,40.4,2.65,0.5850573,26
165,82,95,331.23,40.4,2.706,0.60230047,26
166,82,98,334.62,40.4,2.725,0.5216994,26
167,81,100,336.92,40.4,2.743,0.22353995,26
169,82,103,342.53,40.4,2.771,0.1321983,26
171,81,106,348.48,40.4,2.79,0.041635294,26
175,81,109,360.97,40.4,2.818,-0.06286353,26
177,81,110,366.83,40.4,2.827,-0.38149714,26
182,81,113,381.95,40.4,2.911,-0.43005353,26
189,81,113,402.23,40.0,2.865,-0.4646292,26
190,81,113,404.65,40.0,2.865,-0.51537716,26
195,81,112,419.34,40.2,2.883,-0.46093214,26
202,81,110,438.83,40.4,2.902,-0.4744316,26
210,81,112,460.83,40.2,2.911,-0.69531906,25
212,81,112,466.16,40.2,2.911,-1.0382432,25
219,82,117,486.73,40.2,2.921,-0.9956743,25
220,82,116,489.74,40.2,2.921,-1.2027296,25
226,81,117,507.28,40.2,2.93,-1.1704149,25
227,81,117,510.41,40.2,2.93,-1.2314432,25
230,81,120,519.07,40.0,2.93,-1.1036243,25
233,81,121,527.09,39.8,2.93,-1.1185161,25
238,82,124,540.14,39.6,2.921,-1.1025397,25
240,82,125,546.36,39.6,2.911,-1.878412,25
247,81,126,565.95,39.6,2.911,-1.6801133,25
252,81,129,580.12,39.6,2.911,-2.349819,25
255,81,132,588.02,39.4,2.902,-2.0685592,25
256,81,133,591.25,39.4,2.902,-1.9716978,25
264,82,134,612.54,39.8,2.874,-1.6402295,25
266,82,134,617.35,39.8,2.865,-1.4485359,25
274,81,134,640.23,39.8,2.837,-1.0811433,25
278,82,134,651.1,39.8,2.827,-0.8532684,25
286,82,134,673.44,39.8,2.818,-0.48301423,25
288,82,135,678.54,39.8,2.818,-0.114968196,25
295,82,135,699.27,39.4,2.809,0.17068274,25
298,81,136,708.53,39.4,2.818,0.33956522,25
305,81,136,728.68,39.4,2.827,0.51034385,25
306,81,137,731.38,39.4,2.827,0.7615698,25
314,81,140,754.12,39.2,2.827,0.6632009,25
317,82,140,762.99,39.2,2.827,1.1410075,25
324,82,140,783.02,39.4,2.837,0.9597677,25
327,81,140,792.35,39.4,2.846,1.0235629,25
334,41,142,812.87,39.6,2.874,0.6393677,25
342,82,143,834.32,39.4,2.874,0.45223427,25
349,82,143,854.72,39.4,2.855,0.20450717,25
352,82,143,862.95,39.4,2.846,0.14407249,25
358,82,144,879.89,39.0,2.846,0.11342038,25
365,81,146,900.22,39.4,2.846,0.10007352,25
368,81,145,908.63,39.4,2.846,0.103504546,25
375,81,145,928.06,39.6,2.846,0.08714005,25
383,81,145,949.83,39.2,2.818,0.079099715,25
388,81,145,964.52,39.2,2.809,0.09260067,25
396,82,146,986.43,39.4,2.809,0.1042627,25
398,82,146,991.14,39.4,2.809,0.002734087,25
405,81,148,1011.47,39.4,2.799,-0.075527675,25
407,81,148,1016.4,39.4,2.799,-0.26909387,25
415,81,150,1039.21,39.4,2.799,-0.300679,25
421,82,149,1055.95,39.0,2.799,-0.2890612,24
425,81,149,1066.28,39.4,2.799,-0.28685772,24
430,83,148,1079.68,39.6,2.79,-0.20501198,24
438,81,146,1101.68,39.6,2.781,-0.16797166,24
443,81,146,1115.65,39.2,2.781,-0.40662467,24
445,81,146,1121.2,39.0,2.781,-0.425073,24
453,81,145,1143.27,38.8,2.771,-0.23816675,24
454,82,145,1146.17,38.8,2.771,-0.17225218,24
456,81,146,1151.78,38.8,2.771,-0.054939233,24
459,81,149,1160.1,38.8,2.771,0.070630684,24
462,81,150,1168.8,38.6,2.771,0.14285128,24
469,82,150,1190.21,38.0,2.781,0.19662307,24
474,81,151,1204.63,37.8,2.799,0.038607564,24
479,81,151,1220.0,37.6,2.809,-0.011501931,24
485,80,151,1237.98,37.6,2.827,-0.13326663,24
493,82,150,1260.44,37.4,2.837,-0.15486535,24
