time,cadence,heartrate,distance,altitude,velocity_smooth,grade_smooth,temp
0,0,107,0.0,519.4,0.0,6.173559,26
7,19,107,6.67,520.4,0.0,4.2442923,26
12,57,110,11.0,520.6,1.306,4.7500024,26
16,59,113,17.91,521.0,1.269,4.429228,26
22,57,116,26.73,521.2,1.316,3.6820574,26
24,56,115,27.85,521.4,1.306,3.9310186,26
28,0,115,32.02,521.6,1.278,3.6403673,26
32,57,112,37.16,522.0,1.288,3.1629856,26
37,57,112,43.3,522.2,1.316,4.5581326,26
42,56,111,49.84,522.4,1.316,5.1077633,26
45,56,111,54.23,522.6,1.316,4.6736164,26
52,58,112,63.73,522.8,1.316,4.23722,26
63,59,113,82.05,523.4,1.325,3.8807278,25
64,59,113,83.53,523.6,1.334,4.6995554,25
70,57,116,89.95,524.4,1.334,0.6777253,25
71,57,116,91.2,524.6,1.334,0.37977368,25
76,57,118,98.17,525.2,1.325,-0.7817767,25
79,56,119,101.09,525.2,1.325,-0.9672852,25
88,56,118,110.71,525.0,1.316,-0.67907906,25
98,55,117,125.52,525.2,1.316,-1.8872452,25
104,54,116,133.12,525.8,1.353,-3.0717123,25
111,53,117,142.53,526.0,1.362,-3.9470885,25
123,58,117,160.29,524.8,1.353,-1.664628,25
125,57,116,163.96,524.6,1.362,-1.9553338,25
129,57,113,169.97,524.2,1.39,-1.0931298,25
135,57,115,177.84,523.6,1.428,0.3455349,25
144,57,115,189.02,524.2,1.409,-0.716391,25
153,57,115,202.8,523.8,1.409,-0.38224804,25
161,57,117,211.59,523.8,1.4,-0.37843904,25
166,57,113,218.88,523.6,1.381,0.3305287,25
172,56,114,227.96,523.6,1.381,0.3770044,25
177,56,111,233.66,523.8,1.39,0.34488907,25
182,56,112,241.58,523.8,1.381,0.38385013,25
192,57,112,255.9,523.6,1.409,0.35458127,26
204,56,110,272.26,523.6,1.39,-0.37882924,26
214,56,109,286.08,523.8,1.428,-3.1562574,26
223,55,108,298.23,524.0,1.4,0.32851356,26
230,57,108,309.01,523.8,1.409,1.0096244,26
233,57,110,313.46,523.4,1.418,2.3964517,26
239,60,108,321.32,522.6,1.437,5.706494,26
241,57,107,323.18,522.2,1.437,7.238001,26
244,57,104,325.76,522.2,1.418,7.5047526,26
245,57,104,326.49,522.0,1.409,6.7657537,26
247,57,105,328.42,522.0,1.39,6.8504076,26
251,56,101,333.0,522.4,1.353,6.314048,26
261,53,101,347.64,523.4,1.278,2.2307267,26
267,54,108,357.79,524.2,1.334,0.39491543,25
268,54,108,359.45,524.4,1.344,-2.6829925,26
