time,heartrate,distance,altitude,velocity_smooth,grade_smooth,temp
0,75,1.3,463.4,0.0,3.7615447,30
1,75,2.64,463.4,0.0,3.7615447,30
2,75,4.1,463.4,1.437,3.8529532,30
5,76,8.27,463.0,2.146,4.7909436,30
9,77,14.36,464.2,1.838,4.212099,30
11,78,19.84,464.4,2.501,4.3466196,30
12,79,23.76,464.6,2.249,3.2091649,30
16,80,36.68,465.0,3.835,2.6821208,30
18,80,42.49,465.0,3.172,0.36651286,30
20,81,45.46,465.0,1.241,-0.5802134,30
25,83,51.78,465.4,1.614,-1.2127544,30
26,84,54.02,465.4,1.642,-1.3396277,30
27,84,57.17,465.8,2.865,-2.0904918,30
29,85,64.42,466.6,3.098,-3.6922276,30
33,87,75.56,466.6,1.857,-5.458039,30
34,87,76.95,466.4,1.512,-7.1866474,30
36,87,79.76,465.4,1.512,-5.5501933,30
38,88,85.96,464.8,2.155,-4.6879816,30
39,88,90.79,464.8,3.91,-1.9285161,30
44,88,110.88,465.2,2.09,-2.7877965,30
48,87,114.34,464.6,0.0,0.5812485,30
51,89,116.17,463.8,0.0,1.8685789,30
55,90,120.88,462.4,1.4,4.313526,30
57,92,126.36,462.0,2.379,5.4866934,30
61,92,142.75,462.4,4.497,4.321534,30
66,91,174.0,463.6,5.897,3.5228467,30
70,93,199.0,465.0,5.897,3.0757444,30
73,97,219.15,465.6,6.112,2.2885344,30
74,98,225.52,466.4,6.14,1.9239993,30
77,102,244.53,466.6,6.14,1.7799017,30
78,105,250.82,466.8,6.14,2.2138054,30
79,108,255.97,466.8,6.14,2.383385,30
81,111,268.74,467.2,6.074,2.0238636,30
83,112,281.37,467.4,5.962,2.1197915,30
84,112,287.8,467.6,5.953,2.2506518,30
92,112,334.78,468.6,5.757,1.1768135,30
93,112,338.78,468.8,5.86,-1.7721331,30
96,113,347.38,469.2,2.034,-2.3994133,30
101,115,361.32,468.2,3.088,-1.2056441,30
102,115,364.51,467.8,2.874,-0.76519144,30
106,114,379.06,467.0,4.432,0.6350612,30
107,114,384.29,467.0,4.843,0.7501657,30
112,114,413.71,467.0,5.897,0.80268383,30
119,115,458.81,467.4,6.27,0.5506484,29
123,116,486.3,467.6,6.671,-0.24881187,29
124,117,495.49,467.8,6.746,-0.75377756,29
130,118,539.17,467.8,7.045,-1.4287975,29
136,119,579.58,467.4,7.045,-3.1820593,29
139,119,602.76,466.6,7.119,-3.1362834,29
141,118,617.3,465.4,7.185,-1.7499326,29
142,117,625.22,465.2,7.763,-1.8787408,29
144,113,643.57,465.0,8.323,-3.2641609,29
146,110,659.74,464.6,8.901,-6.025689,29
147,109,670.67,464.4,9.228,-7.5625234,29
148,108,680.2,464.2,9.284,-9.40482,29
149,107,690.01,463.2,9.695,-9.269569,29
151,108,710.28,462.2,10.096,-9.098477,29
