time,cadence,heartrate,distance,altitude,velocity_smooth,grade_smooth,temp
0,20,82,2.61,42.0,0.653,-0.26265687,29
1,20,82,5.5,42.0,1.334,-0.26265687,29
5,82,84,18.33,41.8,2.65,-0.27789807,29
7,82,88,24.1,41.8,2.687,-0.6926018,28
9,82,91,30.03,41.8,2.641,-0.9473108,28
11,82,94,35.74,41.8,2.725,-1.1898726,28
12,83,93,38.53,41.6,2.743,-1.3165685,28
13,83,96,41.37,41.8,2.753,-1.5194162,28
16,82,100,49.54,41.6,2.762,-1.5012039,28
19,82,103,56.91,41.6,2.762,-1.7159611,28
21,81,105,62.04,41.6,2.753,-1.8784062,28
25,81,108,72.38,41.6,2.762,-1.7622912,28
27,81,110,77.58,41.2,2.734,-1.8404636,28
31,82,112,87.44,41.2,2.706,-1.9373068,27
35,82,115,97.46,41.0,2.622,-2.1627414,27
39,83,118,108.13,40.6,2.613,-2.028162,27
40,83,119,110.57,40.4,2.603,-1.9137217,27
47,82,120,127.18,40.0,2.594,-1.7703636,27
48,82,120,129.7,39.8,2.594,-2.0756912,27
49,82,120,132.08,39.8,2.594,-2.269257,27
52,82,120,139.76,39.6,2.575,-2.1956992,27
56,81,119,150.75,39.4,2.566,-2.164722,27
59,81,119,158.31,39.4,2.566,-1.799452,26
67,81,120,179.31,39.0,2.566,-1.6141503,26
68,81,120,181.81,39.0,2.575,-1.5496786,26
71,81,121,189.92,39.0,2.575,-1.2686739,26
75,81,122,199.83,38.8,2.575,-1.0810533,26
85,82,122,222.38,38.4,2.557,-0.98179966,26
86,82,122,225.09,38.4,2.557,-0.9877339,26
87,82,122,227.58,38.4,2.557,-0.84002817,26
96,82,122,249.58,38.2,2.547,-0.6030875,26
97,82,123,252.24,38.2,2.547,-0.72475,26
101,82,120,263.16,38.2,2.547,-0.61765707,26
105,81,123,273.31,37.8,2.547,-0.48442954,26
106,81,124,276.07,37.8,2.547,-0.45085192,26
113,81,127,295.12,38.0,2.566,-0.37475434,26
116,81,128,302.83,38.0,2.566,-0.43661392,26
124,82,129,324.6,38.0,2.594,-0.39321825,26
128,81,128,334.99,37.8,2.603,-0.053491596,26
130,41,128,339.83,37.6,2.613,0.1106586,25
136,40,127,353.48,37.4,2.622,0.19929224,25
137,81,128,355.21,37.4,2.622,0.40712118,25
140,82,128,361.25,37.2,2.585,0.34846395,25
147,82,129,378.68,37.4,2.379,0.2959143,25
155,82,128,399.71,37.2,2.417,0.2893793,25
156,82,127,402.01,37.2,2.417,0.3419607,25
157,82,127,404.6,37.2,2.417,0.23878625,25
165,81,127,426.38,37.2,2.585,0.25421372,25
171,81,128,442.27,36.8,2.613,0.3150842,25
174,81,129,450.71,37.0,2.622,0.19909817,25
181,81,128,471.34,36.8,2.659,0.0799022,24
183,82,128,477.42,36.6,2.678,-0.17221832,24
189,81,129,494.31,36.4,2.734,-0.2519322,24
195,81,132,511.65,36.2,2.762,-0.62021214,24
197,81,132,516.93,36.2,2.771,-1.3867828,24
205,82,134,537.5,36.0,2.771,-1.5207034,24
207,82,134,542.6,36.0,2.762,-1.4685566,24
210,81,134,550.11,35.8,2.743,-1.4153429,24
212,81,131,554.39,35.8,2.734,-1.4179704,24
213,81,134,556.97,35.8,2.725,-1.3487856,24
215,81,131,562.32,35.8,2.715,-1.0742087,24
218,82,134,570.91,35.6,2.706,-0.9218866,24
223,81,133,584.34,35.4,2.697,-0.46127263,24
231,82,134,605.1,35.2,2.697,-0.34633967,24
234,82,135,613.26,35.2,2.687,0.051121008,24
242,82,136,634.57,35.2,2.678,0.1869182,24
243,82,136,637.49,35.2,2.678,0.08888588,24
251,82,136,658.69,35.2,2.669,0.02139269,24
259,82,136,680.66,35.0,2.641,-0.13690574,24
260,41,136,683.35,34.8,2.65,-0.464808,24
267,82,136,701.5,34.8,2.669,-0.46808642,24
275,82,136,722.1,35.0,2.641,-0.5180346,24
278,82,136,729.64,34.8,2.641,-0.63371205,24
286,82,135,752.0,34.0,2.641,-0.32372674,23
287,82,135,754.71,34.0,2.65,0.024914686,23
289,83,135,760.29,33.8,2.65,0.30577385,23
294,81,135,773.63,34.0,2.678,0.39462465,23
302,81,136,794.12,33.8,2.678,0.4735512,23
304,81,136,799.88,33.8,2.669,0.56602776,23
305,81,136,802.77,33.8,2.669,0.608164,23
312,81,135,824.21,33.4,2.706,0.32127318,23
314,81,134,830.17,33.4,2.715,0.14028496,23
321,82,137,851.62,33.4,2.762,0.0668554,23
325,82,139,864.5,33.4,2.79,-0.027406272,23
332,82,140,886.93,33.4,2.846,-0.024777252,23
335,83,140,896.5,33.4,2.874,-0.17141737,23
342,82,139,918.58,33.6,2.921,-0.19249411,23
346,81,140,931.43,33.4,2.948,-0.49327153,23
353,82,141,953.5,33.4,2.986,-0.6217745,23
