time,cadence,heartrate,distance,altitude,velocity_smooth,grade_smooth,temp
0,0,106,0.0,46.0,0.0,0.0,25
1,0,106,0.0,46.0,0.0,0.0,25
6,0,109,2.76,46.0,0.0,0.0,25
7,18,108,4.86,46.0,0.0,0.0,25
10,78,111,11.32,46.0,0.924,0.0,25
11,78,111,12.05,46.2,1.754,0.0,25
12,78,110,12.83,46.2,1.754,0.0,25
14,0,114,14.42,46.4,1.353,0.0,25
17,0,115,19.69,46.4,1.521,0.0,25
18,0,114,20.24,46.4,1.568,0.0,25
20,89,111,23.95,46.4,1.67,0.0,25
22,0,115,29.02,46.4,1.997,0.0,25
23,0,118,32.41,46.4,2.202,0.0,25
25,0,117,34.33,46.4,3.004,0.0,25
29,80,116,42.76,46.2,1.67,0.0,25
34,80,119,49.59,46.6,1.875,0.0,25
35,0,120,50.0,46.6,1.689,0.0,25
40,0,122,54.33,46.6,0.0,0.0,25
44,47,122,57.13,46.4,0.0,0.0,25
45,47,119,59.86,46.4,0.243,0.0,25
48,82,116,67.42,46.4,2.323,0.0,25
49,82,116,68.4,46.4,2.37,0.0,25
50,82,115,70.93,46.4,2.37,0.0,25
52,82,115,74.63,46.6,2.435,0.0,25
54,99,114,80.38,46.6,2.762,0.0,25
56,99,114,82.8,46.6,3.368,0.0,25
57,99,115,83.95,46.6,3.368,0.0,25
61,50,116,100.66,46.2,2.239,0.0,25
63,0,116,104.93,46.4,2.529,0.0,25
65,0,117,112.78,47.0,2.799,0.0,25
66,0,117,116.69,47.0,3.798,0.0,25
70,0,118,127.65,46.8,3.854,0.0,25
71,0,118,129.86,46.6,3.816,0.0,25
75,85,119,145.16,46.0,2.697,0.0,25
76,85,119,148.52,46.0,2.697,0.0,25
77,83,118,151.39,46.0,2.687,0.0,25
78,83,118,153.2,46.0,2.687,0.0,25
79,83,118,154.12,45.8,2.678,0.0,25
84,0,118,156.36,45.0,0.0,0.0,25
104,0,118,157.09,45.6,0.0,0.0,24
123,0,118,157.09,46.0,0.0,0.0,24
145,0,0,157.09,46.0,0.0,0.0,23
173,0,0,157.09,46.0,0.0,0.0,23
201,0,0,157.16,46.0,0.0,0.0,22
235,0,0,157.39,45.6,0.0,0.0,21
280,0,0,157.53,45.0,0.0,0.0,21
283,0,0,157.59,45.0,0.0,0.0,21
330,0,0,157.75,44.6,0.0,0.0,20
343,0,0,157.75,44.6,0.0,0.0,20
377,0,0,157.78,43.6,0.0,0.0,20
380,0,0,157.78,43.6,0.0,0.0,20
430,0,0,157.86,42.6,0.0,0.0,20
433,0,0,157.86,42.4,0.0,0.0,19
490,0,0,157.93,41.6,0.0,0.0,19
497,0,0,157.93,41.4,0.0,0.0,19
564,0,0,157.97,40.6,0.0,0.0,18
571,0,0,157.98,40.6,0.0,0.0,18
635,0,0,158.03,39.8,0.0,0.0,18
649,0,0,158.03,39.6,0.0,0.0,18
712,0,0,158.04,38.6,0.0,0.0,17
717,0,0,158.05,38.6,0.0,0.0,17
826,0,0,158.12,38.2,0.0,0.0,17
910,0,0,158.16,37.6,0.0,0.0,17
941,0,0,158.19,37.2,0.0,0.0,16
1095,0,0,158.25,36.6,0.0,0.0,16
1120,0,0,158.26,36.6,0.0,0.0,16
1280,0,0,158.33,35.8,0.0,0.0,15
1546,0,0,158.43,35.8,0.0,0.0,15
1740,0,0,158.51,35.6,0.0,0.0,15
1799,0,0,158.53,36.6,0.0,0.0,14
1842,0,0,158.54,37.6,0.0,0.0,14
1843,0,0,158.54,37.6,0.0,0.0,14
1889,0,0,158.55,38.6,0.0,0.0,14
1950,0,0,158.57,39.6,0.0,0.0,14
2000,0,0,158.59,40.6,0.0,0.0,14
2066,0,0,158.63,41.6,0.0,0.0,14
2130,0,0,158.65,42.6,0.0,0.0,14
2245,0,0,158.68,43.6,0.0,0.0,14
,,,,,,,
