time,heartrate,distance,altitude,velocity_smooth,grade_smooth,temp
0,73,0.68,502.4,1.316,10.0795555,29
1,73,2.01,502.0,1.838,10.826179,29
2,72,5.19,502.0,1.838,11.145859,29
4,73,11.89,502.2,1.819,11.841538,29
5,73,14.72,502.2,2.361,13.455205,29
7,71,26.13,502.4,4.096,14.565025,29
9,71,35.37,503.6,4.106,16.516905,29
11,71,44.49,505.0,4.04,16.000317,29
13,71,53.07,506.6,4.096,15.005625,29
15,70,61.92,507.8,4.189,12.927334,29
17,71,70.56,509.0,4.189,11.931291,29
19,72,79.35,510.6,4.208,10.676035,29
21,73,87.87,512.4,4.171,8.0679,29
23,77,96.54,513.4,4.189,6.855573,29
25,82,105.83,514.4,4.311,3.7135518,29
26,85,110.72,514.6,4.311,2.3015988,29
27,86,115.49,515.0,4.479,1.7881558,29
28,92,120.29,515.4,4.479,1.1750664,29
29,96,124.95,515.8,4.507,-0.3598234,29
31,108,134.0,516.4,4.535,-1.5700231,29
32,111,137.63,516.8,4.516,-4.917794,29
34,113,146.22,517.6,4.516,-6.620454,29
35,114,150.46,517.4,4.507,-8.516338,29
39,117,166.61,516.4,4.059,-8.307223,29
41,121,175.9,516.0,4.059,-8.245448,29
42,123,180.57,515.6,4.059,-8.105507,29
45,123,195.04,514.6,4.161,-6.9124775,29
46,123,200.23,513.8,4.843,-4.611254,29
47,124,205.92,512.8,5.132,-3.348015,29
50,125,222.43,511.8,4.46,-1.8463333,29
52,125,232.67,511.4,4.385,-2.6811209,29
57,124,260.08,511.0,4.413,-4.981124,29
58,124,268.19,510.8,5.104,-6.980158,29
59,123,274.75,510.6,5.104,-7.6432548,29
60,123,282.21,510.0,4.796,-6.1654353,29
62,123,297.0,509.2,4.824,-5.6088147,29
66,123,323.12,507.8,5.104,-3.562987,29
69,121,342.75,506.4,5.253,-0.3580231,29
71,120,358.77,505.8,5.636,12.7591505,29
74,117,378.86,505.6,5.636,21.169178,29
75,117,384.9,506.2,5.673,30.0,29
76,117,391.24,509.0,5.692,27.920435,29
77,117,396.06,511.4,5.729,28.842594,29
78,117,400.21,512.6,5.729,26.887745,29
79,117,402.95,514.2,5.925,26.065826,29
80,116,406.94,515.0,3.807,25.916878,29
81,115,411.38,515.6,3.807,27.933247,29
82,115,416.27,516.8,4.833,24.948172,29
83,115,421.47,517.8,4.945,25.308865,29
85,115,431.21,520.4,4.945,21.949177,29
86,114,435.71,522.0,4.833,22.075031,29
87,113,440.29,523.2,4.833,20.78288,29
88,113,445.08,524.6,4.777,19.900492,29
90,114,453.94,527.0,4.469,16.9279,29
91,114,458.54,528.2,4.469,16.607706,29
93,116,468.17,530.0,4.385,14.877851,29
94,116,473.48,531.0,4.385,10.641371,28
95,119,478.81,531.8,4.385,10.139206,28
96,121,484.54,533.0,4.469,5.651206,28
97,121,490.35,533.8,4.955,4.8623314,28
98,122,495.81,534.6,4.955,3.9458096,28
99,122,500.67,535.6,4.955,2.3825617,28
100,123,505.38,536.2,4.955,0.802993,28
101,123,510.49,536.8,4.955,0.0,28
104,125,524.33,537.8,4.889,-1.543449,28
109,128,545.77,537.0,4.301,-0.39212644,28
110,128,550.3,536.8,4.255,0.0,28
115,130,575.24,536.6,4.152,1.659297,28
120,134,596.62,536.8,4.273,0.79220617,28
123,137,611.11,536.8,4.441,-3.2547545,27
125,138,621.08,537.6,4.721,-9.567393,27
126,141,626.14,537.4,4.731,-10.977849,27
128,144,635.37,537.2,4.731,-9.884373,27
130,147,643.74,537.0,4.731,-11.085891,27
132,148,651.73,536.6,4.199,-12.041251,27
134,148,656.85,535.0,2.361,-11.318622,27
136,148,660.05,533.8,1.68,-10.083309,27
140,145,674.35,532.6,3.919,-8.332513,27
142,142,683.56,531.6,4.339,-9.070164,27
143,142,688.18,531.6,4.339,-9.822692,27
146,141,700.91,531.2,3.919,-11.484534,27
148,140,709.11,529.8,3.919,-20.68657,27
151,140,720.73,528.6,3.872,-21.625828,27
154,140,729.68,527.6,2.669,-14.697983,27
158,138,736.44,526.6,1.11,-9.458961,27
