time,heartrate,distance,altitude,velocity_smooth,grade_smooth,temp
0,78,0.0,499.2,3.07,3.801205,28
1,79,3.64,499.4,3.163,3.4556696,28
3,78,12.17,499.6,3.368,3.3490763,28
7,81,27.82,500.0,4.245,3.6193502,28
8,81,32.33,500.2,4.245,4.2906284,28
11,83,45.44,500.4,4.535,3.2851481,27
13,84,54.93,501.0,4.535,4.560791,27
15,84,64.96,501.4,4.647,2.7616177,27
18,84,78.41,502.0,4.647,2.2433372,27
21,83,92.87,502.4,4.768,2.222142,27
22,82,98.03,502.4,4.833,4.409892,27
28,84,127.4,503.4,4.88,1.263095,27
29,84,132.45,503.4,4.945,1.8259351,27
31,85,142.24,503.6,4.945,1.6467365,27
32,85,147.39,504.6,4.945,0.0,26
41,86,193.34,504.8,5.253,-0.56058437,26
45,88,218.94,504.6,5.99,-0.6073509,26
47,90,232.15,504.4,6.205,-0.75803447,26
51,93,259.36,504.2,6.429,-0.38728347,26
53,96,271.78,504.2,6.429,-1.5962173,26
55,99,283.91,504.0,6.494,-2.3824182,26
57,102,296.67,504.0,6.345,-1.7794371,26
58,107,303.14,504.0,6.494,-2.1252115,26
59,110,309.48,503.8,6.494,-2.0154672,26
60,116,315.81,503.4,6.438,-1.5094715,26
61,119,322.35,503.2,6.392,-1.3796841,26
67,122,362.68,502.8,6.457,-0.7776044,26
69,122,373.82,502.6,5.001,6.4858546,26
71,123,382.39,502.4,4.329,12.004067,26
74,122,397.03,502.8,4.992,11.9350195,26
75,122,401.67,503.6,4.413,15.060975,26
77,122,411.09,505.0,4.796,11.95061,26
78,122,415.34,505.6,4.413,13.029733,26
79,123,419.67,506.0,4.385,12.38699,26
81,123,428.98,507.8,4.413,9.899222,25
83,124,437.67,509.0,4.413,9.01822,25
84,124,442.55,509.4,4.413,8.81995,25
85,124,447.36,510.0,4.385,8.499366,25
88,125,461.55,511.2,4.245,8.192482,25
90,127,469.96,512.2,4.245,6.2505465,25
91,127,474.18,512.8,4.171,6.1170197,25
93,127,482.09,513.4,4.078,5.4340014,25
94,128,487.44,513.8,4.078,5.837992,25
96,129,496.52,514.6,4.078,5.0593705,25
97,130,501.04,514.6,4.059,4.8218584,25
103,130,525.54,515.6,4.106,3.3552742,25
105,131,533.33,516.2,4.068,1.1286044,25
107,131,538.95,516.8,2.827,0.64583355,25
109,132,543.3,517.2,2.239,0.0,25
114,132,554.81,517.4,2.389,-0.3852701,25
116,132,559.99,517.4,2.613,0.77682525,25
118,131,568.99,517.6,4.339,0.5551909,25
120,131,578.83,517.6,4.665,0.6351117,25
123,131,595.6,516.8,5.636,2.2585945,25
129,129,632.04,517.2,5.785,3.8855023,25
131,131,642.78,518.0,4.992,0.0,25
133,133,652.09,519.0,4.703,-0.9357297,25
134,133,656.97,519.4,4.703,-1.8265141,25
135,133,661.24,519.4,4.749,-1.9994146,25
139,134,689.57,518.6,7.782,0.27017662,25
141,134,706.82,518.0,7.782,1.4195234,25
145,135,735.56,518.4,6.224,0.7635587,25
147,136,745.93,518.8,5.598,0.36265346,25
149,137,759.32,518.8,5.72,0.39636043,25
150,137,765.6,518.8,6.298,2.3400364,25
154,136,790.64,518.8,5.934,2.6076422,25
155,136,796.21,519.0,5.748,2.3740997,24
157,133,806.42,519.0,5.906,2.5957599,24
159,134,819.19,519.4,5.906,2.327559,24
162,135,836.16,520.2,5.654,2.2407978,24
166,135,857.86,520.4,5.682,2.3199077,24
167,135,863.63,520.6,5.682,0.24504593,24
170,135,881.7,521.4,5.673,-0.7891268,24
171,136,887.81,521.6,5.673,-1.381783,24
172,135,892.86,521.6,5.701,-1.5495819,24
179,137,939.43,521.0,6.354,-1.0069999,24
181,137,952.56,520.8,6.466,-3.7434874,24
183,137,964.34,520.4,6.345,-1.459047,24
184,137,968.45,520.2,4.656,0.0,24
185,137,971.03,520.0,2.547,1.1144528,24
190,139,982.52,519.6,2.547,1.9569606,24
194,138,993.09,519.2,2.342,7.408564,24
195,137,993.34,518.8,1.316,13.564224,24
196,137,994.52,518.6,1.316,14.131079,24
200,135,1007.04,519.2,3.518,13.310755,24
202,135,1013.45,519.6,2.809,14.096876,24
204,135,1016.42,520.0,1.558,12.654876,24
208,135,1021.22,520.2,1.558,13.045817,24
210,134,1024.22,520.6,1.521,11.844482,24
214,136,1028.86,521.4,1.269,11.033532,24
219,137,1035.53,522.6,1.334,9.3048725,24
221,136,1038.34,523.2,1.325,7.5972576,24
223,135,1041.08,523.8,1.325,6.9133487,24
226,135,1045.05,524.8,1.362,5.459955,24
230,135,1051.04,526.0,1.362,3.532104,24
232,135,1053.41,526.2,1.39,3.1331356,24
235,135,1057.36,526.8,1.278,2.1908934,24
238,135,1063.03,526.8,2.23,2.3684871,24
240,136,1069.99,527.0,3.947,1.8850801,24
242,136,1078.33,527.2,4.516,1.7642155,24
243,136,1084.38,527.4,4.553,1.8250738,24
245,136,1096.05,527.8,5.43,1.175871,24
246,137,1101.9,527.8,5.608,1.4124333,24
247,138,1107.97,527.8,5.953,1.5776201,24
250,141,1126.42,528.0,5.608,1.2702062,24
251,141,1133.06,528.2,5.878,1.3284792,24
254,144,1152.63,528.4,5.962,1.1194208,24
259,144,1186.73,528.6,6.401,0.673156,24
267,142,1241.81,529.0,6.671,0.36465767,24
272,142,1276.79,529.2,6.867,0.35088837,24
274,141,1291.16,529.2,6.877,0.6841209,24
275,142,1298.75,529.4,6.886,0.3481407,24
280,141,1335.3,529.4,6.886,0.1745932,24
282,141,1348.31,529.6,6.886,0.0,24
291,142,1413.4,529.6,7.007,0.0,24
292,141,1421.78,529.6,7.007,2.9705827,24
293,140,1428.72,529.6,6.989,2.4473488,24
297,139,1454.11,530.4,6.765,1.367201,24
298,139,1460.51,530.4,6.634,0.35903877,24
299,140,1467.19,530.8,6.559,-0.5013182,24
302,141,1487.4,531.2,6.401,-1.0923648,24
305,141,1510.02,531.2,7.278,-1.5078012,24
309,141,1540.44,530.6,7.315,1.145234,24
311,140,1556.45,530.4,7.315,2.5958438,23
314,137,1579.84,530.6,7.418,2.957891,23
317,136,1602.32,531.4,7.549,1.3737012,23
319,136,1617.46,532.0,7.549,0.9230804,23
326,137,1667.56,532.4,6.476,0.7139392,23
327,138,1673.67,532.6,6.42,-2.0158577,23
328,139,1679.09,532.8,5.561,-2.624767,23
330,139,1690.36,533.0,5.477,-2.0886261,23
332,137,1700.82,533.0,5.981,-2.401562,23
336,134,1727.08,532.4,6.961,-1.8594357,23
341,133,1765.5,531.4,8.024,-3.0370412,23
342,133,1773.65,531.2,8.295,-3.8118653,23
345,132,1799.68,530.0,8.957,-2.189698,23
348,131,1828.58,529.2,9.685,-2.1933787,23
349,131,1838.33,528.8,9.797,-2.5659099,23
350,130,1848.09,528.6,9.909,-2.6565053,23
354,130,1891.03,527.6,10.441,-2.7053967,23
355,130,1899.92,527.2,10.908,-5.713579,23
357,131,1922.21,526.2,11.29,-4.8553557,23
360,132,1957.78,524.8,12.158,-4.735801,23
361,131,1973.04,523.4,12.634,-5.723004,23
362,131,1986.2,522.4,13.063,-6.5663247,23
364,129,2013.79,521.4,13.772,-8.246997,23
365,128,2028.06,520.2,14.043,-9.225449,23
366,127,2039.67,518.8,14.435,-5.6926446,23
368,128,2072.56,517.0,14.854,-4.1981463,23
371,130,2116.08,514.8,15.573,-3.1937253,23
372,128,2135.31,513.8,15.713,-6.1402717,23
373,128,2151.69,512.8,16.151,-6.4245424,23
374,128,2164.75,511.4,16.198,-6.4282703,23
376,127,2197.76,510.0,16.366,-7.3888555,23
377,128,2214.04,508.8,16.366,-12.616401,23
378,127,2229.93,507.4,15.657,-13.295264,23
379,127,2245.52,505.2,15.713,-12.0713825,23
380,127,2261.36,502.8,15.713,-10.860175,23
381,125,2277.36,500.8,15.713,-9.039643,23
