time,cadence,heartrate,distance,altitude,velocity_smooth,grade_smooth,temp
0,0,74,1.51,225.0,1.456,0.05516401,26
1,0,74,3.63,225.0,0.0,0.05516401,26
3,0,77,8.46,225.0,1.288,0.057487354,26
6,84,81,16.91,225.0,2.622,0.23377503,26
9,85,85,27.48,224.8,2.697,0.22021551,26
10,85,88,31.13,225.0,2.389,-0.35284546,26
11,84,91,34.01,225.0,2.37,-0.5478808,26
12,84,94,36.7,225.2,2.37,-0.58290946,26
14,83,99,43.17,225.4,2.519,-0.6204994,26
15,83,102,46.34,225.4,2.585,-1.442395,26
18,83,106,55.0,225.6,2.575,-1.9159746,26
19,83,107,57.11,225.6,2.575,-3.036039,26
22,82,104,61.87,225.6,2.51,-3.2531023,26
25,67,101,66.33,225.4,1.987,-3.5457988,26
27,61,100,68.97,225.2,1.81,-3.7502463,26
33,61,97,75.68,224.4,1.67,-3.8360205,26
34,61,96,76.67,224.2,1.633,-4.3248634,26
36,61,96,79.44,223.8,1.577,-4.208195,26
44,62,92,90.55,223.0,1.437,-4.4874244,26
45,62,92,91.64,223.0,1.428,-5.1779485,26
47,60,90,94.37,222.8,1.418,-4.960802,26
51,120,89,98.95,222.2,1.381,-5.0812907,26
55,59,88,104.63,221.6,1.474,-5.135613,26
57,62,85,107.77,221.2,1.409,-5.213793,26
62,61,84,115.87,220.6,1.54,-4.969023,26
69,61,82,124.35,219.6,1.614,-5.0929017,26
73,64,80,129.26,218.6,1.605,-6.422785,26
75,64,75,131.9,218.6,1.568,-7.208577,26
76,123,74,133.48,218.6,1.549,-6.9470654,26
82,62,77,143.45,217.8,1.586,-6.6438785,26
83,62,77,145.33,217.4,1.586,-6.678471,26
84,61,75,147.19,217.4,1.586,-6.461119,26
90,61,73,158.53,216.2,1.633,-6.0772414,26
95,61,73,166.77,215.2,1.67,-5.86865,26
96,61,74,168.28,215.0,1.68,-6.4031296,26
99,61,77,172.31,214.6,1.689,-5.850001,26
104,63,76,179.02,214.2,1.661,-5.7522984,26
105,63,76,180.61,214.0,1.652,-6.334907,26
109,63,75,187.29,213.2,1.614,-5.714353,26
116,61,75,200.47,212.0,1.605,-5.8578877,26
124,62,75,215.1,210.8,1.661,-6.2101965,26
127,62,75,220.06,210.4,1.68,-7.5594163,26
130,121,72,225.18,210.0,1.698,-7.4411974,26
131,121,71,226.51,209.8,1.698,-7.5387263,26
136,61,73,233.39,209.0,1.502,-6.9811077,26
138,61,74,236.15,208.6,1.502,-7.2186847,26
144,62,74,244.81,207.4,1.381,-6.859829,26
145,62,74,246.27,207.2,1.372,-6.9512753,26
153,61,74,259.78,206.2,1.334,-6.4642935,26
154,61,74,261.62,206.0,1.334,-7.005392,26
159,118,74,271.58,205.0,1.474,-6.390198,26
162,118,77,277.23,204.4,1.596,-8.312365,26
164,63,79,280.7,203.8,1.549,-8.777166,26
173,62,80,294.5,202.8,1.372,-9.666942,26
180,61,81,306.66,201.8,1.325,-11.367681,26
187,62,82,318.85,200.6,1.372,-14.197572,26
188,62,82,320.72,200.4,1.381,-14.993857,26
190,62,79,324.46,200.0,1.4,-14.267582,26
192,62,75,328.31,199.6,1.418,-14.920168,26
193,62,75,330.21,199.4,1.428,-14.347208,26
195,62,74,333.95,199.2,1.456,-13.657466,26
199,61,74,340.68,198.4,1.596,-13.583183,26
202,61,73,345.06,197.6,1.698,-15.011913,26
204,61,75,347.57,197.0,1.717,-15.333659,26
208,62,75,352.62,195.8,1.689,-14.847428,26
210,64,74,355.28,195.4,1.624,-14.937188,26
213,61,75,359.95,194.6,1.596,-14.524514,26
217,63,76,367.15,193.6,1.54,-14.816491,26
221,65,76,373.4,192.8,1.717,-15.301821,26
222,65,77,374.61,192.6,1.726,-15.979509,26
226,64,80,380.52,191.4,1.754,-15.163531,26
228,64,82,384.06,190.8,1.736,-15.692482,26
230,65,83,387.4,190.2,1.726,-14.700005,26
231,65,85,389.57,190.0,1.726,-14.496064,26
233,63,82,393.11,189.6,1.708,-13.932186,26
234,63,81,394.62,189.2,1.708,-14.228682,26
237,63,78,399.62,188.4,1.708,-13.591874,26
238,63,78,401.38,188.0,1.708,-13.041075,26
243,63,78,407.71,187.0,1.698,-12.400874,26
244,123,78,409.44,186.6,1.689,-13.108935,26
247,123,75,414.61,186.0,1.698,-12.860614,26
248,63,75,416.46,185.8,1.698,-13.793753,26
252,64,76,423.37,184.6,1.493,-13.230125,26
254,125,76,426.94,184.0,1.642,-13.741245,26
256,64,76,430.79,183.4,2.351,-13.735214,26
260,63,76,437.98,182.4,1.95,-13.392941,26
263,61,77,442.68,181.8,1.791,-13.3455305,26
265,62,76,445.84,181.4,1.745,-13.345532,26
271,62,75,454.2,180.2,1.661,-11.831205,26
274,62,79,458.57,179.6,1.633,-12.366951,26
276,62,78,461.86,179.2,1.605,-11.583495,26
277,62,75,463.6,179.2,1.596,-11.085703,26
280,61,74,469.65,178.2,1.568,-11.011521,26
283,61,75,475.39,177.8,1.577,-10.119902,26
286,61,75,480.16,177.0,1.586,-10.793173,26
290,62,76,486.45,176.0,1.596,-9.895401,26
295,62,77,494.72,175.0,1.577,-9.727459,26
300,63,77,504.63,173.8,1.586,-9.227629,26
304,62,78,512.33,172.8,1.605,-9.710118,26
305,62,79,514.04,172.8,1.614,-9.897884,26
311,62,79,523.87,171.8,1.652,-9.205273,26
312,62,78,525.55,171.6,1.652,-9.480302,26
313,61,78,527.45,171.2,1.661,-8.793521,26
318,82,80,539.69,170.4,1.726,-8.029767,26
322,82,83,549.68,169.6,1.987,-7.884419,26
324,82,85,554.59,169.4,2.062,-8.085983,26
327,81,89,562.53,169.0,2.193,-8.162266,26
329,81,91,567.48,168.4,2.221,-8.292949,26
332,81,94,575.36,167.6,2.286,-7.8642178,26
334,81,95,581.03,167.2,2.333,-7.932386,26
339,81,95,594.79,166.0,2.426,-7.222839,25
342,81,95,603.17,165.0,2.463,-7.837427,25
343,81,95,606.77,164.8,2.473,-7.2857637,25
345,82,99,613.11,164.6,2.547,-6.674731,25
347,82,102,619.5,164.2,2.631,-6.086762,25
349,82,105,625.59,164.0,2.697,-6.804286,25
352,82,108,634.11,164.0,2.818,-5.780999,25
355,83,109,643.74,163.8,2.902,-5.83764,25
356,82,109,647.5,163.6,2.939,-6.011348,25
359,83,110,657.8,163.0,3.331,-5.5184145,25
363,84,113,666.65,163.4,3.303,-5.2295337,25
364,83,116,668.72,163.4,3.06,-3.9707987,25
365,83,116,671.29,163.4,2.781,-3.4152308,25
371,83,119,685.43,163.6,2.519,-2.9243343,25
372,83,119,688.03,163.6,2.501,-2.7847924,25
376,84,122,698.6,163.8,2.519,-2.2877417,25
379,82,124,708.12,164.0,2.51,-2.0273242,25
386,84,126,728.84,164.4,2.585,-1.8648975,25
387,84,127,731.62,164.6,2.622,-1.6969979,25
388,84,128,734.36,164.8,2.659,-1.3538265,25
394,85,129,750.85,165.4,2.837,-0.9959466,25
397,84,130,759.07,165.8,2.874,-1.0358348,25
404,84,132,778.32,166.8,2.865,-0.8451654,25
406,84,132,784.23,167.0,2.883,-0.46637198,25
411,83,133,797.59,167.6,2.93,-0.3585782,25
413,83,134,803.29,168.0,2.911,-0.14231308,25
417,84,137,814.68,168.6,2.921,-0.018408716,25
418,84,138,818.11,168.8,2.911,0.17577079,25
